cost_id,route_id,vehicle_id,transport_mode,distance_km,base_cost,fuel_cost,driver_cost,toll_cost,handling_cost,transfer_cost,temperature_control_cost,total_cost,cost_per_kg,cost_per_km,fuel_price_index,route_id_raw
C00059,R0044,TRK040,local,189.9,1557.18,505.83,816.87,41.12,877.79,45.51,991.16,4835.46,4.08,25.46,1.156,R044
C00060,R0009,TRK036,road,492.3,2855.34,1164.88,1409.89,423.03,745.91,449.03,164.0,7212.09,2.29,14.65,0.953,R009
C00061,R0015,TRK004,road,224.4,1301.52,562.49,1418.96,190.67,687.86,454.06,0.0,4615.56,1.18,20.57,0.957,R015
C00062,R0058,TRK031,rail,326.2,1174.32,247.5,379.04,41.9,869.82,636.74,0.0,3349.32,0.98,10.27,0.936,R058
C00063,R0044,TRK039,rail,387.3,1394.28,348.85,405.73,58.02,352.28,607.45,0.0,3166.61,0.73,8.18,1.098,R044
C00064,R0074,TRK045,rail,439.9,1583.64,331.53,421.86,60.13,776.98,93.75,1018.94,4286.83,13.32,9.75,1.169,R074
C00065,R0009,TRK009,road,153.6,890.88,298.05,1177.55,107.43,766.83,232.67,0.0,3473.41,1.03,22.61,1.244,R009
C00066,R0049,TRK045,road,523.4,3035.72,1133.77,1049.31,462.7,157.3,577.1,0.0,6415.9,1.99,12.26,0.964,R049
C00067,R0089,TRK014,rail,31.3,112.68,24.91,520.56,4.43,467.07,655.45,0.0,1785.09,1.46,57.03,1.133,R089
C00068,R0062,TRK020,road,438.9,2545.62,1077.31,1082.63,353.95,643.27,645.91,0.0,6348.67,4.85,14.46,1.001,R062
C00069,R0048,TRK032,road,268.1,1554.98,647.29,1208.16,236.68,664.92,441.11,1734.97,6488.12,4.75,24.2,1.104,R048
C00070,R0012,TRK021,rail,508.3,1829.88,463.35,505.68,80.44,198.81,408.66,0.0,3486.83,9.09,6.86,0.976,R012
C00071,R0080,TRK017,road,77.2,447.76,175.6,1401.54,49.41,643.01,277.87,1453.74,4448.94,5.21,57.63,0.958,R080
C00072,R0057,TRK032,rail,267.3,962.28,239.47,372.68,44.99,575.12,593.46,0.0,2787.99,0.81,10.43,1.006,R057
C00073,R0020,TRK002,road,179.1,1038.78,416.19,1429.74,110.37,274.8,170.41,0.0,3440.28,3.97,19.21,1.112,R020
C00074,R0050,TRK009,local,476.4,3906.48,1284.74,751.01,142.35,892.57,147.2,106.45,7230.81,7.57,15.18,1.031,R050
C00075,R0070,TRK011,rail,413.7,1489.32,345.23,518.23,50.9,277.99,401.23,0.0,3082.9,0.66,7.45,1.149,R070
C00076,R0028,TRK013,road,392.4,2275.92,961.78,996.19,236.71,783.26,261.84,0.0,5515.71,1.39,14.06,1.238,R028
C00077,R0042,TRK030,rail,404.3,1455.48,276.29,407.67,70.51,173.69,239.63,1204.53,3827.8,0.89,9.47,0.932,R042
C00078,R0088,TRK014,rail,520.6,1874.16,429.11,477.04,64.71,763.52,16.88,0.0,3625.42,1.64,6.96,0.917,R088
C00079,R0011,TRK031,road,109.4,634.52,213.36,1372.81,70.39,166.74,237.1,0.0,2694.92,0.54,24.63,0.919,R011
C00080,R0085,TRK030,road,199.6,1157.68,480.14,1423.59,126.22,320.09,131.75,0.0,3639.46,3.91,18.23,1.029,R085
C00081,R0066,TRK044,road,520.5,3018.9,1086.78,1222.17,464.71,497.72,237.3,235.09,6762.69,1.79,12.99,1.128,R066
C00082,R0086,TRK031,local,248.1,2034.42,697.86,943.06,68.24,217.93,242.29,0.0,4203.81,1.0,16.94,1.123,R086
C00083,R0078,TRK025,road,412.4,2391.92,803.49,1416.47,310.82,597.48,683.73,278.86,6482.77,2.71,15.72,1.19,R078
C00084,R0042,TRK019,rail,244.7,880.92,223.75,524.33,31.09,701.35,418.97,0.0,2780.4,0.99,11.36,0.926,R042
C00085,R0038,TRK018,road,259.6,1505.68,591.0,1404.79,160.37,282.22,515.26,1156.85,5616.16,5.53,21.63,1.204,R038
C00086,R0005,TRK023,road,247.7,1436.66,552.31,1104.22,168.12,614.23,297.67,209.25,4382.47,1.94,17.69,1.066,R005
C00087,R0065,TRK004,road,255.7,1483.06,589.19,1419.51,218.64,467.81,565.13,402.47,5145.82,1.46,20.12,1.07,R065
C00088,R0082,TRK008,road,141.5,820.7,336.91,1117.01,124.02,189.25,376.93,1406.42,4371.25,1.04,30.89,0.985,R082
C00089,R0055,TRK038,road,71.8,416.44,149.32,1318.31,61.94,883.42,201.25,105.35,3136.04,1.13,43.68,1.236,R055
C00090,R0045,TRK016,road,134.6,780.68,292.85,1236.15,108.99,375.64,432.2,1276.12,4502.63,2.44,33.45,1.23,R045
C00091,R0092,TRK016,road,509.5,2955.1,983.38,1379.15,320.35,565.49,544.04,0.0,6747.51,10.73,13.24,1.155,R092
C00092,R0060,TRK014,road,434.2,2518.36,1098.2,963.87,366.51,815.42,472.01,841.96,7076.32,2.57,16.3,0.991,R060
C00093,R0080,TRK016,rail,317.9,1144.44,236.99,423.95,46.92,221.54,413.12,392.56,2879.52,2.25,9.06,1.145,R080
C00094,R0006,TRK047,rail,269.3,969.48,228.13,410.8,45.05,486.76,359.59,0.0,2499.8,1.95,9.28,0.958,R006
C00095,R0094,TRK023,road,261.4,1516.12,615.66,1350.41,233.53,460.87,666.16,0.0,4842.75,14.0,18.53,1.185,R094
C00096,R0095,TRK023,rail,123.4,444.24,92.39,508.76,20.39,311.68,525.4,654.76,2557.63,5.53,20.73,0.986,R095
C00097,R0076,TRK037,rail,470.5,1693.8,337.34,533.17,76.1,214.16,655.69,0.0,3510.26,1.04,7.46,1.21,R076
C00098,R0097,TRK048,local,171.7,1407.94,434.52,1006.09,36.05,419.06,57.84,0.0,3361.49,1.27,19.58,1.115,R097
C00099,R0100,TRK007,road,226.5,1313.7,518.48,1001.37,185.03,174.97,116.91,0.0,3310.46,1.42,14.62,1.086,R100
C00100,R0010,TRK029,rail,139.4,501.84,108.08,506.68,17.85,815.88,454.95,0.0,2405.29,0.61,17.25,1.206,R010
C00101,R0094,TRK013,local,239.9,1967.18,602.99,723.04,59.5,239.53,80.39,0.0,3672.62,0.92,15.31,1.19,R094
C00102,R0045,TRK032,road,380.8,2208.64,774.84,1434.93,271.8,609.26,330.74,0.0,5630.22,2.08,14.79,1.188,R045
C00103,R0082,TRK033,road,102.5,594.5,205.14,1104.86,72.44,806.57,445.99,1476.79,4706.28,2.54,45.91,0.934,R082
C00104,R0068,TRK033,road,472.3,2739.34,1126.74,1426.43,295.02,783.84,573.96,1241.02,8186.36,3.65,17.33,1.078,R068
C00105,R0012,TRK010,road,127.7,740.66,270.51,1070.49,112.53,558.93,319.22,1637.08,4709.43,1.41,36.88,1.056,R012
C00106,R0044,TRK017,road,497.1,2883.18,941.46,1106.13,358.69,428.2,32.18,0.0,5749.84,2.82,11.57,1.041,R044
C00107,R0022,TRK022,road,173.4,1005.72,428.1,1163.34,146.43,665.22,632.55,404.63,4445.99,1.03,25.64,1.244,R022
C00108,R0045,TRK042,local,278.9,2286.98,715.14,802.8,58.17,181.1,288.58,0.0,4332.77,1.24,15.54,1.11,R045
C00109,R0080,TRK014,road,317.3,1840.34,724.74,1090.63,278.57,273.62,561.61,0.0,4769.52,1.16,15.03,1.084,R080
C00110,R0080,TRK046,local,267.6,2194.32,672.26,839.94,72.75,492.05,298.15,0.0,4569.47,2.24,17.08,0.963,R080
C00111,R0045,TRK015,road,144.6,838.68,324.18,1177.16,114.55,429.42,347.82,0.0,3231.8,0.65,22.35,1.045,R045
C00112,R0008,TRK009,road,168.4,976.72,374.41,1088.02,105.78,332.34,310.13,0.0,3187.4,1.53,18.93,0.936,R008
C00113,R0065,TRK012,road,324.7,1883.26,770.39,1434.8,204.79,674.07,543.34,0.0,5510.65,1.99,16.97,0.931,R065
C00114,R0076,TRK036,rail,538.4,1938.24,431.37,433.31,66.78,617.97,153.46,0.0,3641.11,0.98,6.76,1.167,R076
C00115,R0024,TRK048,road,483.0,2801.4,1169.9,1344.64,292.38,262.93,47.99,0.0,5919.24,2.55,12.26,1.031,R024
C00116,R0095,TRK007,road,485.0,2813.0,1216.1,1001.38,404.17,641.45,223.0,0.0,6299.1,6.56,12.99,1.081,R095
C00117,R0058,TRK027,road,532.0,3085.6,1133.36,985.29,352.66,157.41,376.73,1012.08,7103.13,1.66,13.35,1.243,R058
C00118,R0028,TRK049,road,234.1,1357.78,494.45,1295.91,172.46,206.85,622.62,0.0,4150.07,2.89,17.73,0.979,R028
C00119,R0036,TRK041,road,107.6,624.08,263.98,983.07,76.86,173.92,420.33,348.32,2890.57,0.73,26.86,1.09,R036
C00120,R0098,TRK029,road,530.3,3075.74,1251.32,1183.96,365.83,696.48,10.79,0.0,6584.11,1.53,12.42,0.997,R098
C00121,R0046,TRK003,local,81.5,668.3,197.96,950.04,19.01,259.29,287.1,0.0,2381.7,0.75,29.22,1.134,R046
C00122,R0073,TRK032,road,104.9,608.42,219.52,1355.28,82.9,339.93,358.59,1252.57,4217.21,13.38,40.2,1.178,R073
C00123,R0056,TRK018,road,537.6,3118.08,1256.05,1139.01,373.65,545.7,317.28,724.06,7473.85,4.08,13.9,1.047,R056
C00124,R0075,TRK019,road,221.7,1285.86,552.85,1253.28,194.29,436.16,328.37,0.0,4050.82,12.77,18.27,1.169,R075
C00125,R0048,TRK027,road,82.4,477.92,175.91,1006.61,53.67,625.27,268.8,327.91,2936.1,0.85,35.63,1.22,R048
C00126,R0025,TRK032,rail,257.1,925.56,184.69,513.03,35.33,267.57,207.52,0.0,2133.68,4.0,8.3,1.002,R025
C00127,R0021,TRK024,road,191.0,1107.8,475.5,1134.85,150.42,827.31,422.78,0.0,4118.66,10.62,21.56,0.941,R021
C00128,R0098,TRK044,local,357.9,2934.78,1106.77,839.37,101.35,836.95,93.47,649.65,6562.34,2.77,18.34,1.056,R098
C00129,R0064,TRK046,road,467.6,2712.08,877.38,1023.28,319.43,756.35,437.56,0.0,6126.08,16.58,13.1,1.061,R064
C00130,R0038,TRK020,local,149.2,1223.44,418.44,788.43,36.82,676.66,2.3,1472.44,4618.53,2.41,30.96,1.003,R038
C00131,R0074,TRK008,road,104.1,603.78,203.31,1190.81,67.41,273.74,7.04,0.0,2346.1,0.68,22.54,1.044,R074
C00132,R0065,TRK036,rail,517.4,1862.64,472.06,443.1,70.21,534.62,662.28,1165.67,5210.58,1.45,10.07,1.096,R065
C00133,R0051,TRK021,road,94.4,547.52,189.96,1053.43,78.66,684.98,307.7,0.0,2862.26,0.59,30.32,1.241,R051
C00134,R0009,TRK032,road,357.1,2071.18,810.1,964.86,220.85,160.85,506.08,1409.07,6143.0,2.16,17.2,1.021,R009
C00135,R0042,TRK012,road,536.7,3112.86,1153.47,1069.64,328.18,174.8,649.91,0.0,6488.86,8.01,12.09,1.057,R042
C00136,R0009,TRK017,local,194.9,1598.18,578.27,922.83,46.09,766.41,180.38,0.0,4092.17,1.83,21.0,1.185,R009
C00137,R0063,TRK033,road,323.0,1873.4,645.32,1269.7,272.4,761.6,49.81,1031.66,5903.9,1.23,18.28,1.158,R063
C00138,R0051,TRK017,rail,522.2,1879.92,424.96,529.63,85.32,801.77,385.25,0.0,4106.84,1.37,7.86,1.19,R051
C00139,R0033,TRK019,rail,284.3,1023.48,215.24,449.51,41.8,516.69,250.52,0.0,2497.23,1.02,8.78,1.043,R033
C00140,R0028,TRK022,road,161.0,933.8,324.47,1403.24,144.1,572.79,186.7,0.0,3565.09,0.75,22.14,1.175,R028
C00141,R0048,TRK050,rail,490.3,1765.08,348.46,498.26,69.37,873.39,280.41,1574.18,5409.16,1.09,11.03,1.114,R048
C00142,R0096,TRK023,road,251.3,1457.54,611.99,1025.13,215.99,599.43,541.92,0.0,4452.0,1.13,17.72,0.924,R096
C00143,R0091,TRK049,road,225.4,1307.32,479.92,1119.06,155.81,491.43,596.57,0.0,4150.12,4.81,18.41,1.157,R091
C00144,R0078,TRK048,road,151.5,878.7,305.89,1289.45,129.68,589.19,390.57,0.0,3583.48,1.11,23.65,1.156,R078
C00145,R0004,TRK020,road,130.8,758.64,273.19,1340.0,105.91,212.85,238.17,1597.98,4526.72,1.19,34.61,1.056,R004
C00146,R0071,TRK002,road,301.3,1747.54,633.16,1290.51,186.23,691.94,54.16,1421.92,6025.47,3.2,20.0,0.989,R071
C00147,R0093,TRK031,rail,547.3,1970.28,404.89,366.52,86.1,878.59,185.35,0.0,3891.73,1.8,7.11,0.978,R093
C00148,R0023,TRK002,local,456.9,3746.58,1270.58,820.1,131.15,158.01,103.3,0.0,6229.72,10.21,13.63,0.961,R023
C00149,R0011,TRK031,road,116.0,672.8,246.11,1034.99,79.87,332.92,636.1,0.0,3002.79,2.87,25.89,0.967,R011
C00150,R0069,TRK047,road,239.5,1389.1,566.34,1342.01,156.88,181.82,291.8,344.07,4272.02,4.8,17.84,1.23,R069
C00151,R0049,TRK020,road,460.5,2670.9,944.66,980.21,411.51,753.84,467.33,1769.33,7997.78,3.72,17.37,1.019,R049
C00152,R0044,TRK032,local,51.1,419.02,162.83,833.54,12.7,752.69,4.12,1500.79,3685.7,5.08,72.13,1.052,R044
C00153,R0051,TRK009,road,153.0,887.4,349.55,1390.12,110.83,659.94,536.96,1188.92,5123.72,1.28,33.49,0.903,R051
C00154,R0098,TRK050,local,93.0,762.6,279.66,1033.14,27.26,825.92,161.92,0.0,3090.49,7.88,33.23,1.176,R098
C00155,R0034,TRK001,local,521.4,4275.48,1262.24,1051.1,131.87,621.76,132.27,0.0,7474.72,2.19,14.34,0.926,R034
C00156,R0033,TRK029,road,437.6,2538.08,1014.51,1422.77,279.27,719.21,268.81,1222.74,7465.38,2.69,17.06,0.994,R033
C00157,R0034,TRK028,road,534.3,3098.94,1037.38,1054.96,345.62,257.87,609.05,550.21,6954.02,6.16,13.02,1.042,R034
C00158,R0066,TRK017,road,37.5,217.5,84.57,1075.75,25.84,867.4,517.3,1495.11,4283.47,1.02,114.23,1.077,R066
C00159,R0057,TRK016,road,203.2,1178.56,506.1,1290.9,176.32,278.39,527.27,0.0,3957.54,1.52,19.48,1.196,R057
C00160,R0050,TRK002,road,49.1,284.78,112.6,1193.85,43.3,164.86,616.96,0.0,2416.35,1.33,49.21,1.075,R050
C00161,R0071,TRK025,rail,106.1,381.96,92.69,472.09,18.99,491.28,516.69,0.0,1973.7,4.35,18.6,1.004,R071
C00162,R0032,TRK039,road,491.3,2849.54,1135.94,1229.37,355.57,477.01,185.13,0.0,6232.55,2.99,12.69,1.159,R032
C00163,R0045,TRK044,local,429.2,3519.44,1216.3,934.14,127.8,238.44,35.07,0.0,6071.19,1.89,14.15,1.003,R045
C00164,R0038,TRK035,road,140.3,813.74,334.83,1357.45,88.04,492.85,245.93,533.23,3866.08,5.42,27.56,0.979,R038
C00165,R0047,TRK009,rail,402.4,1448.64,315.51,394.25,57.42,445.1,185.86,0.0,2846.78,1.46,7.07,0.937,R047
C00166,R0095,TRK049,rail,96.8,348.48,71.97,381.37,16.9,432.45,93.02,0.0,1344.19,0.93,13.89,1.031,R095
C00167,R0001,TRK009,road,358.4,2078.72,778.81,1275.12,282.76,553.33,547.89,360.51,5877.16,2.41,16.4,1.182,R001
C00168,R0087,TRK006,road,93.7,543.46,186.28,1037.76,65.25,420.47,189.92,0.0,2443.13,1.18,26.07,0.949,R087
C00169,R0001,TRK016,road,69.0,400.2,137.81,1039.95,58.19,838.6,600.68,0.0,3075.43,1.81,44.57,0.966,R001
C00170,R0048,TRK006,road,508.4,2948.72,987.57,1320.65,372.58,291.1,639.26,1297.51,7857.41,1.96,15.46,1.131,R048
C00171,R0035,TRK031,road,146.1,847.38,313.31,1253.95,116.44,465.95,73.04,0.0,3070.07,0.8,21.01,1.181,R035
C00172,R0020,TRK013,road,263.8,1530.04,608.44,1103.81,226.68,709.62,656.12,1447.5,6282.2,1.66,23.81,1.095,R020
C00173,R0073,TRK043,road,195.2,1132.16,390.09,1128.26,126.26,316.33,678.18,266.29,4037.56,1.29,20.68,1.19,R073
C00174,R0069,TRK024,road,151.2,876.96,313.87,964.83,128.09,717.79,631.69,0.0,3633.23,0.85,24.03,0.959,R069
C00175,R0011,TRK026,road,136.8,793.44,306.94,1401.43,82.39,693.94,368.25,656.0,4302.39,0.88,31.45,1.127,R011
C00176,R0063,TRK040,rail,255.1,918.36,202.23,484.14,32.54,621.73,474.33,0.0,2733.33,0.61,10.71,1.104,R063
C00177,R0092,TRK021,road,49.5,287.1,107.71,1419.08,38.39,215.39,295.24,0.0,2362.91,0.69,47.74,1.003,R092
C00178,R0097,TRK047,road,495.9,2876.22,1131.41,1178.98,367.87,382.58,255.31,0.0,6192.36,2.4,12.49,1.157,R097
C00179,R0071,TRK044,road,224.7,1303.26,421.69,1109.61,159.08,549.99,30.74,0.0,3574.38,0.92,15.91,1.07,R071
C00180,R0079,TRK005,road,518.4,3006.72,1217.16,1009.99,346.43,594.55,457.0,190.82,6822.67,2.55,13.16,1.218,R079
C00181,R0034,TRK040,road,208.3,1208.14,446.48,1103.38,137.97,430.04,269.99,0.0,3596.0,1.67,17.26,1.192,R034
C00182,R0091,TRK016,road,232.8,1350.24,513.25,1404.43,179.12,898.21,469.9,0.0,4815.15,1.89,20.68,1.244,R091
C00183,R0037,TRK010,road,176.8,1025.44,334.37,1142.42,114.24,527.03,245.44,666.38,4055.31,1.01,22.94,1.227,R037
C00184,R0014,TRK031,road,382.1,2216.18,781.78,1041.32,240.19,617.44,175.42,772.17,5844.5,4.09,15.3,1.097,R014
C00185,R0098,TRK050,rail,127.6,459.36,112.3,433.81,17.27,557.0,316.76,0.0,1896.5,1.26,14.86,1.103,R098
C00186,R0094,TRK031,road,518.9,3009.62,987.96,1161.56,364.66,892.52,147.23,0.0,6563.55,2.2,12.65,1.198,R094
C00187,R0070,TRK002,road,458.6,2659.88,996.6,1144.8,313.01,481.71,249.27,0.0,5845.28,2.12,12.75,0.918,R070
C00188,R0062,TRK049,road,208.5,1209.3,505.13,1354.73,146.34,321.21,84.32,0.0,3621.04,1.84,17.37,0.977,R062
C00189,R0079,TRK044,rail,186.7,672.12,142.56,477.28,27.33,371.78,39.94,320.68,2051.7,0.42,10.99,1.238,R079
C00190,R0049,TRK048,road,265.9,1542.22,656.05,1106.78,185.71,499.63,95.91,548.62,4634.92,0.96,17.43,1.062,R049
C00191,R0097,TRK044,road,490.7,2846.06,941.62,1044.22,342.28,548.67,209.31,127.21,6059.36,1.5,12.35,0.955,R097
C00192,R0024,TRK019,road,490.4,2844.32,1231.17,1107.64,439.56,799.88,292.61,502.27,7217.45,2.94,14.72,1.192,R024
C00193,R0037,TRK018,road,134.6,780.68,326.28,1360.46,88.91,708.11,47.61,419.42,3731.47,1.89,27.72,1.14,R037
C00194,R0099,TRK039,rail,459.5,1654.2,351.84,513.08,79.49,827.1,596.68,0.0,4022.4,10.52,8.75,1.247,R099
C00195,R0009,TRK033,road,457.3,2652.34,922.9,1080.7,408.58,767.7,131.16,1335.68,7299.05,1.53,15.96,0.994,R009
C00196,R0057,TRK023,road,89.2,517.36,213.09,1246.03,67.63,428.38,114.24,0.0,2586.73,1.36,29.0,1.154,R057
C00197,R0068,TRK002,road,260.9,1513.22,503.8,1366.63,177.27,644.93,336.36,1120.22,5662.43,2.34,21.7,0.989,R068
C00198,R0097,TRK016,local,285.3,2339.46,903.51,741.9,64.87,399.71,259.49,0.0,4708.94,1.43,16.51,1.212,R097
C00199,R0014,TRK034,road,230.7,1338.06,449.74,1418.31,149.14,248.61,675.07,0.0,4278.93,1.92,18.55,0.943,R014
C00200,R0061,TRK039,road,369.0,2140.2,818.07,1126.11,282.18,263.24,208.45,0.0,4838.25,2.23,13.11,1.172,R061
