handling_id,shipment_id,route_id,hub_id,vehicle_id,transfer_type,product_category,cargo_weight_kg,arrival_timestamp,departure_timestamp,handling_time_hours,loading_time_hours,unloading_time_hours,queue_time_hours,temperature_during_handling_c,temperature_excursion,damage_incident,handling_cost,transfer_delay_hours,route_id_raw,shipment_id_raw,hub_id_raw,hub_number,hub_id_mapped
H00039,HS000178,R0017,HUB12,TRK033,mode_change,grains,1987.7,2026-04-23 07:45:00,2026-04-23 10:34:20,0.36,0.55,0.84,2.462271702024411,26.06,0,0,489.82,2.56,R017,S00178,HUB12,12,H012
H00040,HS000847,R0024,HUB07,TRK042,mode_change,vegetables,525.9,2026-08-07 00:54:00,2026-08-07 01:49:48,0.65,0.94,0.37,0.28,4.85,0,0,304.78,0.69,R024,S00847,HUB07,7,H007
H00041,HS000817,R0047,HUB18,TRK010,vehicle_change,dairy,1808.4,2025-10-28 12:29:00,2025-10-28 13:09:48,0.56,0.48,1.06,0.12,7.14,0,0,439.28,0.34,R047,S00817,HUB18,18,
H00042,HS001103,R0018,HUB06,TRK005,cross_dock,rice,978.2,2026-08-17 21:28:00,2026-08-18 03:21:24,1.58,0.81,0.55,4.31,23.22,0,0,1000.67,4.63,R018,S01103,HUB06,6,H006
H00043,HS001498,R0004,HUB16,TRK005,cross_dock,vegetables,1919.1,2025-06-24 14:16:00,2025-06-24 16:38:48,1.9,1.18,0.91,0.48,6.37,0,0,605.5,1.24,R004,S01498,HUB16,16,
H00044,HS000521,R0091,HUB08,TRK024,vehicle_change,pharma,805.9,2025-05-03 19:40:00,2025-05-03 21:01:36,1.1,0.66,0.39,0.26,5.58,0,0,585.87,0.77,R091,S00521,HUB08,8,H008
H00045,HS001216,R0061,HUB12,TRK022,vehicle_change,grains,1372.2,2026-01-10 00:22:00,2026-01-10 02:23:12,1.83,0.93,0.83,0.19,24.31,0,0,731.34,0.62,R061,S01216,HUB12,12,H012
H00046,HS000294,R0047,HUB01,TRK042,cross_dock,grains,311.9,2026-04-07 06:37:00,2026-04-07 09:35:12,2.25,0.53,1.04,0.72,29.11,0,0,822.05,1.1,R047,S00294,HUB01,1,H001
H00047,HS000558,R0021,HUB11,TRK041,vehicle_change,dairy,286.4,2025-01-01 14:27:00,2025-01-01 17:01:48,1.95,0.7,0.47,0.63,3.39,0,0,719.41,1.03,R021,S00558,HUB11,11,H011
H00048,HS000650,R0001,HUB08,TRK006,mode_change,dairy,123.2,2026-04-03 12:05:00,2026-04-03 14:43:24,1.6,0.42,0.76,1.04,6.87,0,0,744.64,1.53,R001,S00650,HUB08,8,H008
H00049,HS001299,R0043,HUB18,TRK013,warehouse,fish,1563.5,2025-07-12 09:34:00,2025-07-12 11:12:24,1.21,0.52,0.96,0.43,0.23,0,0,576.4,0.8,R043,S01299,HUB18,18,
H00050,HS000657,R0092,HUB04,TRK002,mode_change,vegetables,719.1,2025-12-06 03:11:00,2025-12-06 03:45:12,0.45,0.92,0.59,0.12,7.08,0,0,380.12,0.62,R092,S00657,HUB04,4,H004
H00051,HS000762,R0075,HUB10,TRK012,vehicle_change,grains,1865.8,2026-06-04 05:37:00,2026-06-04 08:55:36,1.45,0.79,0.57,1.86,22.27,0,0,658.28,2.37,R075,S00762,HUB10,10,H010
H00052,HS001481,R0072,HUB07,TRK036,mode_change,dairy,255.3,2025-05-25 14:18:00,2025-05-25 16:03:36,0.84,1.05,0.27,0.92,4.2,0,0,418.65,1.47,R072,S01481,HUB07,7,H007
H00053,HS000728,R0048,HUB03,TRK036,vehicle_change,rice,438.6,2026-04-14 07:36:00,2026-04-14 10:41:24,2.45,1.13,0.36,0.64,19.17,0,0,866.43,1.46,R048,S00728,HUB03,3,H003
H00054,HS000415,R0038,HUB12,TRK019,cross_dock,dairy,163.7,2025-09-09 12:58:00,2025-09-09 16:19:00,2.45,0.41,0.55,0.9,3.73,0,0,731.05,1.5,R038,S00415,HUB12,12,H012
H00055,HS001335,R0078,HUB04,TRK011,mode_change,dairy,765.9,2026-08-08 20:25:00,2026-08-08 22:58:36,1.4,1.1,0.43,1.16,6.31,0,0,725.18,1.78,R078,S01335,HUB04,4,H004
H00056,HS000510,R0017,HUB17,TRK007,warehouse,rice,1394.6,2025-06-10 19:41:00,2025-06-10 21:57:48,1.62,0.35,0.88,0.66,24.19,0,0,622.37,1.18,R017,S00510,HUB17,17,
H00057,HS000789,R0007,HUB20,TRK021,mode_change,grains,1547.7,2025-11-25 21:46:00,2025-11-25 23:30:24,1.23,1.06,0.51,0.51,20.97,0,0,459.85,1.13,R007,S00789,HUB20,20,
H00058,HS000973,R0080,HUB20,TRK009,cross_dock,pharma,1323.4,2025-02-04 13:00:00,2025-02-04 13:51:00,0.84,1.13,0.28,0.01,5.74,0,0,405.26,0.35,R080,S00973,HUB20,20,
H00059,HS001157,R0029,HUB01,TRK006,vehicle_change,grains,1026.5,2026-02-28 18:33:00,2026-02-28 22:46:48,1.82,0.34,0.98,2.41,23.36,0,0,865.97,3.0,R029,S01157,HUB01,1,H001
H00060,HS000795,R0051,HUB06,TRK006,mode_change,vegetables,1874.9,2025-06-09 14:25:00,2025-06-09 16:53:48,1.91,1.03,0.23,0.57,6.93,0,0,568.63,0.99,R051,S00795,HUB06,6,H006
H00061,HS000242,R0025,HUB05,TRK048,mode_change,fish,1217.0,2025-05-30 23:42:00,2025-05-31 04:17:24,2.14,0.35,0.51,2.45,3.39,0,0,795.44,3.01,R025,S00242,HUB05,5,H005
H00062,HS000099,R0084,HUB02,TRK035,warehouse,fish,1398.0,2025-10-28 05:07:00,2025-10-28 07:42:24,2.47,0.29,0.85,0.12,2.93,0,0,614.43,0.69,R084,S00099,HUB02,2,H002
H00063,HS000615,R0064,HUB13,TRK017,warehouse,dairy,401.2,2025-05-27 09:09:00,2025-05-27 11:14:24,1.6,0.79,0.9,0.49,6.82,0,0,542.49,0.77,R064,S00615,HUB13,13,H013
H00064,HS001207,R0067,HUB05,TRK049,warehouse,fish,1192.5,2025-10-28 02:54:00,2025-10-28 03:28:48,0.24,0.49,1.23,0.34,2.4,0,0,261.93,0.45,R067,S01207,HUB05,5,H005
H00065,HS000124,R0037,HUB11,TRK007,vehicle_change,vegetables,653.9,2025-05-29 16:43:00,2025-05-29 18:11:48,0.93,0.87,0.65,0.55,5.7,0,0,421.04,0.98,R037,S00124,HUB11,11,H011
H00066,HS000983,R0007,HUB12,TRK018,vehicle_change,pharma,465.1,2026-04-05 21:22:00,2026-04-06 00:45:24,2.02,0.82,0.33,1.37,3.96,0,0,816.41,1.99,R007,S00983,HUB12,12,H012
H00067,HS000011,R0054,HUB07,TRK022,warehouse,vegetables,1161.6,2025-07-12 08:36:00,2025-07-12 14:12:57,0.77,1.15,0.3,4.845966022348019,6.13,0,0,729.75,5.45,R054,S00011,HUB07,7,H007
H00068,HS000956,R0002,HUB12,TRK008,mode_change,vegetables,1409.7,2025-04-20 21:39:00,2025-04-20 23:04:12,1.27,0.58,1.18,0.15,5.6,0,0,395.58,0.74,R002,S00956,HUB12,12,H012
H00069,HS000348,R0059,HUB13,TRK016,warehouse,rice,526.2,2025-11-18 12:33:00,2025-11-18 13:41:24,0.98,0.35,1.15,0.16,31.8,0,0,573.3,0.47,R059,S00348,HUB13,13,H013
H00070,HS000681,R0069,HUB03,TRK028,vehicle_change,dairy,924.7,2025-05-23 11:38:00,2025-05-23 14:20:00,0.56,0.83,1.01,2.14,4.02,0,0,496.02,2.63,R069,S00681,HUB03,3,H003
H00071,HS000035,R0045,HUB11,TRK031,cross_dock,rice,815.5,2025-02-06 02:24:00,2025-02-06 04:39:00,1.36,0.48,0.21,0.89,31.8,0,0,634.03,1.3,R045,S00035,HUB11,11,H011
H00072,HS001102,R0001,HUB08,TRK041,warehouse,pharma,725.6,2025-10-08 16:15:00,2025-10-08 18:10:48,1.63,1.05,0.17,0.3,3.07,0,0,576.61,0.79,R001,S01102,HUB08,8,H008
H00073,HS000200,R0024,HUB03,TRK029,vehicle_change,fish,1472.0,2026-08-04 19:04:00,2026-08-04 22:17:48,2.5,0.94,0.64,0.73,1.12,0,0,861.83,1.24,R024,S00200,HUB03,3,H003
H00074,HS000437,R0073,HUB06,TRK036,mode_change,mango,199.4,2026-02-14 07:15:00,2026-02-14 09:27:00,1.44,0.15,0.74,0.76,11.57,0,0,702.45,1.25,R073,S00437,HUB06,6,H006
H00075,HS001460,R0080,HUB05,TRK012,mode_change,mango,964.1,2026-03-27 21:35:00,2026-03-27 23:50:36,1.51,0.5,0.71,0.75,9.54,0,0,632.87,1.43,R080,S01460,HUB05,5,H005
H00076,HS001492,R0070,HUB13,TRK014,cross_dock,dairy,103.9,2025-06-23 03:42:00,2025-06-23 08:49:48,2.21,0.26,0.39,2.92,4.36,0,0,1007.77,3.46,R070,S01492,HUB13,13,H013
H00077,HS000553,R0059,HUB10,TRK011,cross_dock,grains,594.4,2026-05-17 11:18:00,2026-05-17 13:58:48,1.96,1.03,0.84,0.72,31.97,0,0,727.2,1.02,R059,S00553,HUB10,10,H010
H00078,HS001208,R0027,HUB17,TRK035,vehicle_change,dairy,296.8,2025-12-12 05:05:00,2025-12-12 08:29:36,2.09,1.06,0.7,1.32,5.96,0,0,704.51,1.87,R027,S01208,HUB17,17,
H00079,HS000506,R0055,HUB11,TRK019,mode_change,fish,1291.6,2026-08-10 10:39:00,2026-08-10 13:13:12,2.4,0.95,1.28,0.17,1.83,0,0,665.66,0.6,R055,S00506,HUB11,11,H011
H00080,HS000499,R0016,HUB05,TRK037,warehouse,grains,1620.0,2025-12-17 06:52:00,2025-12-17 08:41:48,1.62,1.1,0.25,0.21,25.89,0,0,543.91,0.68,R016,S00499,HUB05,5,H005
H00081,HS001496,R0087,HUB05,TRK019,warehouse,mango,249.3,2025-11-07 21:32:00,2025-11-08 00:17:00,2.18,0.59,0.51,0.57,8.3,0,0,727.43,1.32,R087,S01496,HUB05,5,H005
H00082,HS001312,R0085,HUB04,TRK018,mode_change,pharma,1548.8,2025-06-23 12:10:00,2025-06-23 16:06:24,1.76,0.86,0.92,2.18,6.05,0,0,728.8,2.5,R085,S01312,HUB04,4,H004
H00083,HS000242,R0068,HUB07,TRK024,cross_dock,dairy,777.7,2026-08-19 03:52:00,2026-08-19 05:34:00,1.44,0.37,1.06,0.26,5.86,0,0,608.28,0.71,R068,S00242,HUB07,7,H007
H00084,HS000667,R0072,HUB19,TRK047,mode_change,dairy,602.0,2025-02-26 23:29:00,2025-02-27 00:36:48,1.08,0.3,0.64,0.05,2.81,0,0,592.79,0.68,R072,S00667,HUB19,19,
H00085,HS000655,R0035,HUB15,TRK005,cross_dock,vegetables,1872.2,2025-10-03 06:00:00,2025-10-03 11:01:35,1.08,0.95,0.28,3.946656707415134,4.43,0,0,708.93,4.34,R035,S00655,HUB15,15,H015
H00086,HS000237,R0089,HUB09,TRK028,vehicle_change,mango,657.1,2026-07-09 16:00:00,2026-07-09 17:48:00,1.61,0.28,1.0,0.19,10.9,0,0,590.34,0.51,R089,S00237,HUB09,9,H009
H00087,HS001368,R0011,HUB10,TRK001,mode_change,vegetables,77.5,2025-04-24 06:25:00,2025-04-24 08:42:24,2.17,0.69,1.15,0.12,4.61,0,0,563.43,0.52,R011,S01368,HUB10,10,H010
H00088,HS000479,R0058,HUB16,TRK039,warehouse,pharma,1926.5,2025-01-10 22:11:00,2025-01-11 01:05:36,1.45,0.67,1.02,1.46,3.46,0,0,537.1,1.7,R058,S00479,HUB16,16,
H00089,HS000434,R0011,HUB04,TRK032,warehouse,pharma,299.6,2025-05-27 18:28:00,2025-05-27 21:34:36,1.7,0.75,0.76,1.41,3.03,0,0,576.46,1.74,R011,S00434,HUB04,4,H004
H00090,HS000092,R0044,HUB07,TRK033,warehouse,pharma,1885.0,2025-12-29 17:52:00,2025-12-29 20:27:24,2.46,0.77,0.27,0.13,7.52,0,0,834.75,0.52,R044,S00092,HUB07,7,H007
H00091,HS001307,R0068,HUB11,TRK038,cross_dock,fish,106.9,2026-08-08 16:11:00,2026-08-08 22:51:24,2.15,0.59,0.77,4.523361942335173,3.52,0,0,1083.26,4.93,R068,S01307,HUB11,11,H011
H00092,HS001379,R0012,HUB06,TRK013,mode_change,fish,1960.6,2025-02-12 15:07:00,2025-02-12 16:22:36,1.23,0.99,0.7,0.03,3.8,0,0,601.59,0.27,R012,S01379,HUB06,6,H006
H00093,HS000887,R0064,HUB07,TRK016,mode_change,mango,431.8,2026-02-01 20:17:00,2026-02-01 23:37:24,1.78,0.18,0.47,1.56,11.49,0,0,638.97,2.29,R064,S00887,HUB07,7,H007
H00094,HS000492,R0091,HUB20,TRK039,warehouse,rice,480.9,2026-06-12 09:05:00,2026-06-12 11:56:00,1.87,0.86,1.23,0.98,31.25,0,0,776.36,1.35,R091,S00492,HUB20,20,
H00095,HS001085,R0090,HUB07,TRK011,warehouse,fish,115.9,2025-07-31 16:10:00,2025-07-31 18:22:00,1.81,0.72,1.2,0.39,1.55,0,0,537.24,0.9,R090,S01085,HUB07,7,H007
H00096,HS001309,R0040,HUB20,TRK038,cross_dock,fish,534.2,2026-08-06 01:27:00,2026-08-06 03:07:48,1.54,0.9,1.01,0.14,-3.93,1,0,581.53,0.56,R040,S01309,HUB20,20,
H00097,HS001077,R0079,HUB16,TRK007,mode_change,vegetables,1318.8,2025-02-24 00:38:00,2025-02-24 02:13:24,0.31,0.31,0.39,1.28,6.97,0,0,469.68,1.81,R079,S01077,HUB16,16,
H00098,HS000195,R0018,HUB04,TRK018,warehouse,vegetables,905.9,2025-03-20 01:12:00,2025-03-20 04:18:00,2.0,1.18,0.29,1.1,6.04,0,0,601.86,1.4,R018,S00195,HUB04,4,H004
H00099,HS001141,R0037,HUB16,TRK031,mode_change,rice,737.7,2026-08-20 12:06:00,2026-08-20 14:38:24,1.95,0.6,0.82,0.59,31.46,0,0,592.34,0.95,R037,S01141,HUB16,16,
H00100,HS000780,R0013,HUB04,TRK038,mode_change,mango,1671.7,2025-03-13 21:07:00,2025-03-14 00:25:36,2.23,0.98,0.3,1.08,9.52,0,0,749.99,1.9,R013,S00780,HUB04,4,H004
H00101,HS000715,R0095,HUB04,TRK010,cross_dock,dairy,1127.8,2026-06-13 10:07:00,2026-06-13 16:04:36,2.13,0.58,0.44,3.83,6.83,0,0,1066.7,4.32,R095,S00715,HUB04,4,H004
H00102,HS000579,R0096,HUB10,TRK049,warehouse,mango,595.6,2026-02-01 02:05:00,2026-02-01 03:14:00,0.79,0.32,0.85,0.36,10.56,0,0,342.64,0.62,R096,S00579,HUB10,10,H010
H00103,HS001177,R0070,HUB15,TRK031,mode_change,dairy,422.0,2026-06-17 00:53:00,2026-06-17 03:33:48,0.83,1.0,0.97,1.85,3.88,0,0,615.67,2.11,R070,S01177,HUB15,15,H015
H00104,HS000964,R0028,HUB19,TRK006,cross_dock,pharma,266.9,2025-05-14 18:20:00,2025-05-14 23:01:38,2.34,1.09,0.67,2.354078943756884,4.81,0,0,884.32,2.93,R028,S00964,HUB19,19,
H00105,HS001180,R0064,HUB02,TRK034,vehicle_change,dairy,972.0,2025-06-12 15:26:00,2025-06-12 16:26:36,0.82,0.64,1.19,0.19,2.51,0,0,438.03,0.59,R064,S01180,HUB02,2,H002
H00106,HS001224,R0003,HUB07,TRK033,cross_dock,grains,1295.6,2026-01-20 15:17:00,2026-01-20 17:24:12,1.65,0.19,0.86,0.47,29.58,0,0,652.95,0.76,R003,S01224,HUB07,7,H007
H00107,HS001205,R0099,HUB18,TRK050,vehicle_change,dairy,1933.0,2025-09-07 15:23:00,2025-09-07 17:00:48,0.81,0.68,0.97,0.82,7.92,0,0,435.47,1.19,R099,S01205,HUB18,18,
H00108,HS001434,R0031,HUB06,TRK021,vehicle_change,rice,1807.5,2025-08-06 21:39:00,2025-08-06 22:41:24,0.75,1.16,0.79,0.29,28.17,0,0,466.4,0.6,R031,S01434,HUB06,6,H006
H00109,HS000689,R0052,HUB16,TRK007,warehouse,pharma,1457.3,2026-05-27 06:57:00,2026-05-27 10:12:36,2.12,0.95,0.51,1.14,6.85,0,0,684.37,1.91,R052,S00689,HUB16,16,
H00110,HS000410,R0089,HUB15,TRK036,warehouse,vegetables,630.9,2026-01-03 16:50:00,2026-01-03 19:29:36,0.9,0.56,0.18,1.76,4.51,0,1,867.3,2.16,R089,S00410,HUB15,15,H015
H00111,HS000957,R0095,HUB18,TRK023,mode_change,mango,1734.7,2025-04-12 07:34:00,2025-04-12 09:50:48,1.75,0.38,0.4,0.53,8.76,0,0,592.71,1.06,R095,S00957,HUB18,18,
H00112,HS000230,R0081,HUB19,TRK028,cross_dock,dairy,1698.9,2026-02-12 23:26:00,2026-02-13 00:46:24,0.9,0.32,1.3,0.44,6.38,0,0,467.8,0.63,R081,S00230,HUB19,19,
H00113,HS000090,R0092,HUB14,TRK035,vehicle_change,dairy,158.3,2026-05-16 11:32:00,2026-05-16 12:57:12,1.39,0.45,0.43,0.03,3.13,0,0,632.15,0.27,R092,S00090,HUB14,14,H014
H00114,HS000943,R0052,HUB03,TRK034,cross_dock,mango,657.8,2026-06-06 23:58:00,2026-06-07 03:59:26,0.2,0.44,0.31,3.824048275794118,10.44,0,0,650.11,3.86,R052,S00943,HUB03,3,H003
H00115,HS001479,R0064,HUB20,TRK049,vehicle_change,fish,991.2,2026-06-14 20:09:00,2026-06-14 21:13:48,0.6,0.18,0.69,0.48,2.17,0,0,308.28,0.9,R064,S01479,HUB20,20,
H00116,HS000709,R0007,HUB12,TRK040,vehicle_change,rice,1333.3,2026-08-16 13:25:00,2026-08-16 15:55:00,1.79,0.29,1.13,0.71,29.72,0,0,575.18,1.06,R007,S00709,HUB12,12,H012
H00117,HS001321,R0023,HUB10,TRK001,cross_dock,fish,222.6,2026-02-20 06:19:00,2026-02-20 07:37:00,0.9,0.96,1.03,0.4,0.17,0,0,504.4,0.64,R023,S01321,HUB10,10,H010
H00118,HS001407,R0006,HUB03,TRK003,vehicle_change,pharma,400.0,2026-08-21 09:14:00,2026-08-21 11:08:36,0.82,0.88,0.69,1.09,7.74,0,0,467.14,1.59,R006,S01407,HUB03,3,H003
H00119,HS001356,R0033,HUB02,TRK028,warehouse,vegetables,1731.0,2025-03-25 18:12:00,2025-03-25 19:24:00,0.47,1.02,0.43,0.73,4.39,0,0,463.01,1.12,R033,S01356,HUB02,2,H002
H00120,HS000746,R0035,HUB18,TRK029,cross_dock,fish,1266.7,2025-12-29 20:49:00,2025-12-29 23:10:36,0.47,0.25,0.87,1.89,1.85,0,0,528.95,2.1,R035,S00746,HUB18,18,
H00121,HS000432,R0035,HUB05,TRK033,cross_dock,rice,301.5,2025-09-25 20:55:00,2025-09-25 23:00:24,1.43,0.47,0.2,0.66,27.93,0,0,646.64,1.15,R035,S00432,HUB05,5,H005
H00122,HS001163,R0084,HUB07,TRK006,cross_dock,pharma,639.0,2026-01-24 17:33:00,2026-01-24 19:09:00,0.69,1.15,0.99,0.91,4.56,0,0,419.98,1.39,R084,S01163,HUB07,7,H007
