delay_id,shipment_id,route_id,vehicle_id,transport_mode,departure_timestamp,distance_km,planned_transit_hours,actual_transit_hours,delay_hours,on_time,historical_route_reliability,congestion_level,weather_condition,transfer_count,handling_time_hours,day_of_week,peak_period,route_id_raw,shipment_id_raw
D00052,HS000043,R0035,TRK033,road,2026-03-04 12:43:00,250.1,8.39,10.32,1.93,0,0.918,medium,clear,0,1.77,Wednesday,0,R035,S00043
D00053,HS000215,R0098,TRK044,rail,2025-03-08 10:34:00,316.6,7.45,10.31,2.86,0,0.86,low,clear,3,4.08,Saturday,0,R098,S00215
D00054,HS000003,R0021,TRK022,road,2026-01-10 17:13:00,277.8,7.55,9.74,2.19,0,0.925,low,clear,0,0.51,Saturday,1,R021,S00003
D00055,HS001291,R0085,TRK035,road,2026-05-24 10:48:00,66.0,3.63,5.08,1.45,0,0.855,low,clear,0,0.54,Sunday,0,R085,S01291
D00056,HS000851,R0078,TRK016,rail,2026-06-06 19:33:00,189.2,8.19,13.02,4.83,0,0.781,medium,clear,2,2.55,Saturday,1,R078,S00851
D00057,HS000580,R0062,TRK031,road,2026-07-28 14:21:00,304.6,10.75,13.91,3.16,0,0.857,high,rain,0,2.03,Tuesday,0,R062,S00580
D00058,HS000785,R0093,TRK020,rail,2025-05-18 08:56:00,318.4,9.61,13.78,4.17,0,0.841,medium,clear,1,2.15,Sunday,1,R093,S00785
D00059,HS000206,R0030,TRK050,road,2025-04-02 22:18:00,192.7,7.51,11.56,4.05,0,0.823,high,rain,1,1.66,Wednesday,0,R030,S00206
D00060,HS000165,R0057,TRK007,road,2026-04-19 04:43:00,259.3,6.98,9.83,2.85,0,0.897,low,clear,3,3.57,Sunday,0,R057,S00165
D00061,HS000202,R0043,TRK044,local,2025-06-15 15:36:00,222.4,8.38,11.32,2.94,0,0.925,high,clear,0,1.67,Sunday,0,R043,S00202
D00062,HS000369,R0098,TRK041,rail,2025-10-28 01:07:00,88.2,3.96,6.47,2.51,0,0.728,low,clear,0,1.22,Tuesday,0,R098,S00369
D00063,HS001120,R0022,TRK012,road,2026-08-09 21:58:00,458.0,11.34,11.59,0.25,1,0.966,low,clear,0,0.82,Sunday,0,R022,S01120
D00064,HS000736,R0021,TRK005,road,2025-06-22 17:28:00,205.9,6.79,10.16,3.37,0,0.835,low,rain,0,1.12,Sunday,1,R021,S00736
D00065,HS000472,R0074,TRK019,local,2025-12-28 16:56:00,181.7,5.49,9.44,3.95,0,0.794,medium,cloudy,1,1.15,Sunday,0,R074,S00472
D00066,HS000903,R0078,TRK023,road,2026-07-29 05:58:00,131.3,6.17,6.68,0.51,0,0.927,medium,clear,0,1.66,Wednesday,0,R078,S00903
D00067,HS000987,R0005,TRK038,road,2025-07-18 10:45:00,103.1,3.28,7.16,3.88,0,0.832,low,rain,2,2.48,Friday,0,R005,S00987
D00068,HS000809,R0038,TRK048,local,2026-02-10 19:44:00,426.0,11.17,13.19,2.02,0,0.924,low,cloudy,1,2.12,Tuesday,1,R038,S00809
D00069,HS001302,R0002,TRK017,road,2026-02-13 19:18:00,258.3,7.78,12.17,4.39,0,0.878,medium,heavy_rain,0,0.78,Friday,1,R002,S01302
D00070,HS001427,R0060,TRK045,road,2026-05-04 05:35:00,236.0,10.29,14.55,4.26,0,0.802,medium,clear,2,1.88,Monday,0,R060,S01427
D00071,HS001405,R0070,TRK027,road,2025-11-20 19:37:00,388.8,9.63,14.76,5.13,0,0.945,medium,heavy_rain,0,1.8,Thursday,1,R070,S01405
D00072,HS000104,R0048,TRK035,local,2025-01-16 13:14:00,349.5,12.98,15.72,2.74,0,0.981,high,rain,0,0.73,Thursday,0,R048,S00104
D00073,HS000297,R0043,TRK016,local,2026-03-10 23:32:00,417.7,15.03,19.36,4.33,0,0.87,medium,rain,0,1.99,Tuesday,0,R043,S00297
D00074,HS000863,R0017,TRK035,road,2026-06-25 02:27:00,123.8,3.26,6.46,3.2,0,0.724,medium,clear,0,0.64,Thursday,0,R017,S00863
D00075,HS000823,R0068,TRK008,rail,2026-01-15 17:01:00,268.6,7.26,13.21,5.95,0,0.749,medium,heavy_rain,0,2.01,Thursday,1,R068,S00823
D00076,HS001087,R0055,TRK044,road,2025-10-05 08:47:00,382.0,12.3,17.06,4.76,0,0.807,low,clear,1,2.44,Sunday,1,R055,S01087
D00077,HS000195,R0038,TRK030,road,2025-10-29 07:54:00,246.5,5.77,10.36,4.59,0,0.897,high,cloudy,2,3.24,Wednesday,1,R038,S00195
D00078,HS001202,R0041,TRK028,road,2025-04-05 17:55:00,162.3,5.24,8.52,3.28,0,0.848,low,clear,0,1.93,Saturday,1,R041,S01202
D00079,HS000222,R0072,TRK036,road,2026-02-25 19:51:00,98.7,4.79,9.61,4.82,0,0.923,high,cloudy,3,3.34,Wednesday,1,R072,S00222
D00080,HS001421,R0045,TRK036,road,2026-04-25 00:26:00,406.1,11.85,15.81,3.96,0,0.948,high,rain,1,2.02,Saturday,0,R045,S01421
D00081,HS000930,R0035,TRK002,road,2025-01-23 07:46:00,377.3,11.73,17.55,5.82,0,0.722,high,cloudy,0,0.57,Thursday,1,R035,S00930
D00082,HS000869,R0044,TRK011,road,2026-04-28 00:13:00,386.4,9.81,13.41,3.6,0,0.743,low,clear,1,2.28,Tuesday,0,R044,S00869
D00083,HS000433,R0063,TRK039,road,2025-10-15 19:43:00,171.1,4.32,7.53,3.21,0,0.836,low,cloudy,1,2.09,Wednesday,1,R063,S00433
D00084,HS000087,R0099,TRK009,rail,2025-09-15 21:31:00,178.9,7.47,9.64,2.17,0,0.836,low,cloudy,0,1.51,Monday,0,R099,S00087
D00085,HS000742,R0056,TRK002,road,2026-03-27 02:31:00,77.4,3.7,5.39,1.69,0,0.829,medium,clear,0,2.42,Friday,0,R056,S00742
D00086,HS000398,R0012,TRK028,rail,2025-03-25 00:45:00,156.8,5.38,7.9,2.52,0,0.827,low,clear,0,0.63,Tuesday,0,R012,S00398
D00087,HS001187,R0100,TRK023,road,2026-07-17 18:29:00,499.9,11.87,14.85,2.98,0,0.748,low,clear,0,1.96,Friday,1,R100,S01187
D00088,HS001212,R0058,TRK044,local,2025-07-20 00:16:00,311.0,8.95,9.88,0.93,0,0.953,medium,clear,0,1.24,Sunday,0,R058,S01212
D00089,HS000085,R0008,TRK023,road,2025-12-03 22:28:00,189.0,5.34,6.77,1.43,0,0.945,low,rain,2,3.05,Wednesday,0,R008,S00085
D00090,HS001450,R0058,TRK037,rail,2025-05-06 15:41:00,194.3,5.63,8.47,2.84,0,0.737,low,rain,0,1.86,Tuesday,0,R058,S01450
D00091,HS000582,R0057,TRK029,road,2025-08-29 01:45:00,332.7,11.59,15.15,3.56,0,0.825,medium,cloudy,0,1.67,Friday,0,R057,S00582
D00092,HS001219,R0033,TRK047,local,2025-04-04 21:35:00,502.9,12.24,16.81,4.57,0,0.742,medium,rain,0,1.73,Friday,0,R033,S01219
D00093,HS000439,R0091,TRK006,road,2025-11-05 07:33:00,220.8,7.0,10.58,3.58,0,0.901,medium,rain,1,2.25,Wednesday,1,R091,S00439
D00094,HS001266,R0044,TRK050,road,2025-09-03 05:23:00,148.7,5.38,8.16,2.78,0,0.948,low,rain,2,2.9,Wednesday,0,R044,S01266
D00095,HS000920,R0017,TRK039,road,2025-11-20 10:56:00,117.9,4.76,5.09,0.33,1,0.938,low,clear,0,1.77,Thursday,0,R017,S00920
D00096,HS001081,R0030,TRK035,road,2026-01-02 04:55:00,503.5,13.0,15.53,2.53,0,0.772,medium,cloudy,0,1.98,Friday,0,R030,S01081
D00097,HS001052,R0054,TRK011,rail,2025-07-27 13:50:00,424.6,14.5,18.68,4.18,0,0.893,high,cloudy,0,2.15,Sunday,0,R054,S01052
D00098,HS000058,R0019,TRK028,road,2025-06-13 12:05:00,477.0,12.24,13.22,0.98,0,0.971,low,clear,0,1.12,Friday,0,R019,S00058
D00099,HS001490,R0041,TRK007,rail,2025-01-04 19:46:00,352.0,7.97,11.62,3.65,0,0.797,medium,cloudy,0,1.84,Saturday,1,R041,S01490
D00100,HS001056,R0078,TRK034,road,2026-01-26 08:13:00,412.6,12.79,16.1,3.31,0,0.784,medium,cloudy,0,2.13,Monday,1,R078,S01056
D00101,HS000800,R0074,TRK016,rail,2026-02-01 04:31:00,179.8,7.79,8.59,0.8,0,0.874,low,cloudy,1,2.12,Sunday,0,R074,S00800
D00102,HS000274,R0061,TRK003,road,2025-08-31 03:11:00,510.9,15.2,17.66,2.46,0,0.933,low,rain,1,2.87,Sunday,0,R061,S00274
D00103,HS000409,R0006,TRK023,road,2025-11-30 06:31:00,430.5,15.6,19.42,3.82,0,0.845,medium,cloudy,2,2.23,Sunday,0,R006,S00409
D00104,HS000560,R0006,TRK021,local,2025-08-30 16:48:00,287.4,7.11,10.12,3.01,0,0.788,medium,clear,0,2.01,Saturday,0,R006,S00560
D00105,HS001234,R0016,TRK024,road,2025-03-02 03:44:00,232.0,8.71,11.09,2.38,0,0.812,low,cloudy,0,2.04,Sunday,0,R016,S01234
D00106,HS000891,R0024,TRK035,road,2025-09-14 17:25:00,89.2,3.66,6.57,2.91,0,0.84,medium,clear,0,1.26,Sunday,1,R024,S00891
D00107,HS000484,R0036,TRK041,local,2026-07-23 22:24:00,495.0,18.58,21.86,3.28,0,0.818,medium,cloudy,2,2.14,Thursday,0,R036,S00484
D00108,HS000571,R0100,TRK042,road,2025-10-17 20:08:00,223.8,7.18,11.41,4.23,0,0.903,high,clear,1,2.26,Friday,1,R100,S00571
D00109,HS000152,R0032,TRK008,road,2025-12-24 16:20:00,129.3,5.86,9.3,3.44,0,0.752,medium,cloudy,0,1.63,Wednesday,0,R032,S00152
D00110,HS001458,R0058,TRK012,local,2025-04-25 16:36:00,253.7,10.56,11.92,1.36,0,0.948,low,clear,0,1.47,Friday,0,R058,S01458
D00111,HS000177,R0091,TRK045,road,2026-08-09 05:00:00,421.0,10.89,14.46,3.57,0,0.774,low,rain,0,1.5,Sunday,0,R091,S00177
D00112,HS001130,R0009,TRK020,road,2026-01-12 17:31:00,384.1,10.91,13.7,2.79,0,0.831,medium,clear,0,0.42,Monday,1,R009,S01130
D00113,HS000582,R0082,TRK038,road,2025-09-09 23:11:00,503.8,15.47,18.86,3.39,0,0.735,low,clear,0,0.98,Tuesday,0,R082,S00582
D00114,HS001240,R0011,TRK017,road,2026-03-31 17:33:00,499.0,16.15,18.99,2.84,0,0.886,low,cloudy,1,1.99,Tuesday,1,R011,S01240
D00115,HS000619,R0044,TRK037,road,2026-04-02 16:29:00,454.6,17.93,18.67,0.74,0,0.928,low,clear,1,1.96,Thursday,0,R044,S00619
D00116,HS000708,R0062,TRK016,rail,2026-06-08 02:18:00,368.8,10.92,13.86,2.94,0,0.736,low,cloudy,0,1.61,Monday,0,R062,S00708
D00117,HS000671,R0052,TRK009,rail,2025-11-01 11:26:00,287.2,10.41,13.31,2.9,0,0.753,low,clear,0,2.38,Saturday,0,R052,S00671
D00118,HS001195,R0074,TRK047,road,2025-06-06 15:55:00,406.3,11.59,15.74,4.15,0,0.855,low,clear,2,3.53,Friday,0,R074,S01195
D00119,HS000105,R0046,TRK004,road,2026-07-11 05:21:00,277.5,7.49,10.6,3.11,0,0.847,medium,rain,0,2.24,Saturday,0,R046,S00105
D00120,HS000695,R0073,TRK036,road,2025-10-14 19:57:00,305.5,11.95,16.22,4.27,0,0.926,low,heavy_rain,1,1.6,Tuesday,1,R073,S00695
D00121,HS001263,R0072,TRK024,rail,2026-01-11 09:06:00,135.5,5.0,10.01,5.01,0,0.732,low,clear,1,2.06,Sunday,1,R072,S01263
D00122,HS001486,R0095,TRK020,road,2025-08-13 01:03:00,283.5,8.51,11.63,3.12,0,0.872,medium,clear,0,0.5,Wednesday,0,R095,S01486
D00123,HS001395,R0089,TRK041,road,2026-03-28 06:40:00,267.8,7.41,9.73,2.32,0,0.93,medium,cloudy,1,1.44,Saturday,0,R089,S01395
D00124,HS001446,R0032,TRK003,road,2026-06-20 19:41:00,376.3,12.95,15.7,2.75,0,0.833,low,clear,1,2.3,Saturday,1,R032,S01446
D00125,HS000542,R0018,TRK034,road,2026-06-09 23:04:00,196.0,6.09,8.49,2.4,0,0.805,low,rain,0,1.05,Tuesday,0,R018,S00542
D00126,HS001148,R0079,TRK031,road,2025-09-11 23:46:00,158.3,4.74,4.74,0.0,1,0.983,low,clear,0,1.84,Thursday,0,R079,S01148
D00127,HS000526,R0093,TRK018,road,2025-02-27 13:08:00,315.3,10.13,12.33,2.2,0,0.827,low,rain,0,0.34,Thursday,0,R093,S00526
D00128,HS000108,R0096,TRK031,road,2025-06-14 07:53:00,437.4,14.29,18.58,4.29,0,0.793,low,rain,0,0.36,Saturday,1,R096,S00108
D00129,HS000658,R0013,TRK027,road,2026-04-19 16:59:00,266.8,6.59,10.2,3.61,0,0.98,high,clear,1,2.91,Sunday,0,R013,S00658
D00130,HS000814,R0037,TRK042,road,2025-01-27 11:05:00,409.0,10.05,15.6,5.55,0,0.919,high,clear,2,3.13,Monday,0,R037,S00814
D00131,HS000275,R0064,TRK012,local,2026-01-31 14:51:00,501.8,12.16,15.68,3.52,0,0.723,medium,clear,3,4.16,Saturday,0,R064,S00275
D00132,HS000360,R0065,TRK030,road,2025-05-21 15:44:00,428.2,13.92,15.57,1.65,0,0.895,medium,clear,0,0.91,Wednesday,0,R065,S00360
D00133,HS000676,R0079,TRK041,local,2025-06-21 12:01:00,437.0,11.14,11.94,0.8,0,0.901,low,clear,0,0.81,Saturday,0,R079,S00676
D00134,HS001309,R0039,TRK038,rail,2026-05-28 07:33:00,45.5,3.23,7.62,4.39,0,0.737,low,clear,0,1.38,Thursday,1,R039,S01309
D00135,HS001394,R0038,TRK024,road,2026-04-29 13:53:00,145.2,5.48,8.17,2.69,0,0.922,medium,clear,1,2.04,Wednesday,0,R038,S01394
D00136,HS000337,R0097,TRK039,local,2025-04-20 02:51:00,79.3,4.24,6.92,2.68,0,0.741,medium,clear,1,2.15,Sunday,0,R097,S00337
D00137,HS001482,R0042,TRK034,road,2026-02-11 21:41:00,366.5,9.46,9.46,0.0,1,0.963,low,clear,0,1.18,Wednesday,0,R042,S01482
D00138,HS000838,R0003,TRK026,road,2025-12-10 18:02:00,41.4,1.9,5.19,3.29,0,0.834,medium,cloudy,0,2.26,Wednesday,1,R003,S00838
D00139,HS000713,R0024,TRK050,road,2026-04-27 21:39:00,347.9,10.2,14.96,4.76,0,0.821,high,clear,2,1.83,Monday,0,R024,S00713
D00140,HS000471,R0016,TRK012,local,2025-10-04 04:20:00,228.7,10.22,14.07,3.85,0,0.945,medium,heavy_rain,1,2.51,Saturday,0,R016,S00471
D00141,HS000915,R0032,TRK030,road,2025-05-31 01:32:00,172.3,5.54,9.99,4.45,0,0.75,medium,clear,1,2.55,Saturday,0,R032,S00915
D00142,HS001180,R0077,TRK044,rail,2026-08-18 00:53:00,63.4,2.83,7.06,4.23,0,0.783,low,rain,0,1.38,Tuesday,0,R077,S01180
D00143,HS001016,R0041,TRK037,road,2026-06-20 08:45:00,362.8,11.15,15.4,4.25,0,0.759,medium,clear,0,0.39,Saturday,1,R041,S01016
D00144,HS001450,R0007,TRK023,local,2025-08-07 23:44:00,362.2,8.66,10.64,1.98,0,0.832,low,clear,1,2.29,Thursday,0,R007,S01450
D00145,HS000773,R0019,TRK030,local,2025-03-09 07:55:00,309.9,7.62,9.93,2.31,0,0.756,low,clear,1,3.3,Sunday,1,R019,S00773
D00146,HS000434,R0087,TRK039,road,2025-01-12 03:58:00,459.3,16.29,18.8,2.51,0,0.916,medium,clear,2,3.13,Sunday,0,R087,S00434
D00147,HS000737,R0025,TRK048,road,2026-01-24 14:12:00,519.8,13.81,16.38,2.57,0,0.883,low,rain,1,2.6,Saturday,0,R025,S00737
D00148,HS001197,R0066,TRK032,road,2025-01-12 19:27:00,425.4,11.36,13.67,2.31,0,0.806,low,clear,0,2.19,Sunday,1,R066,S01197
D00149,HS000345,R0075,TRK047,road,2026-06-11 21:05:00,113.2,4.52,6.21,1.69,0,0.945,medium,cloudy,1,1.79,Thursday,0,R075,S00345
D00150,HS000100,R0094,TRK023,road,2026-05-02 13:54:00,385.8,12.16,13.88,1.72,0,0.866,medium,clear,0,2.16,Saturday,0,R094,S00100
D00151,HS000843,R0098,TRK001,road,2025-12-18 20:36:00,444.4,15.24,19.79,4.55,0,0.722,medium,clear,1,2.54,Thursday,1,R098,S00843
D00152,HS000494,R0002,TRK002,road,2025-04-19 10:10:00,171.9,3.7,6.66,2.96,0,0.94,medium,rain,2,1.24,Saturday,0,R002,S00494
D00153,HS000065,R0025,TRK040,road,2025-02-28 16:52:00,431.3,13.74,16.64,2.9,0,0.821,low,cloudy,3,3.3,Friday,0,R025,S00065
D00154,HS001082,R0012,TRK026,road,2025-03-11 10:34:00,305.3,10.87,13.34,2.47,0,0.766,medium,clear,1,2.51,Tuesday,0,R012,S01082
D00155,HS000296,R0006,TRK015,road,2025-08-18 00:01:00,456.7,10.48,15.3,4.82,0,0.733,low,rain,2,2.17,Monday,0,R006,S00296
D00156,HS001484,R0097,TRK046,rail,2026-07-30 14:57:00,485.9,15.38,18.99,3.61,0,0.873,medium,cloudy,1,2.01,Thursday,0,R097,S01484
D00157,HS000769,R0011,TRK033,rail,2026-04-07 18:06:00,206.0,7.8,12.49,4.69,0,0.741,medium,cloudy,1,2.99,Tuesday,1,R011,S00769
D00158,HS000739,R0056,TRK012,rail,2026-06-23 14:24:00,357.1,13.83,17.86,4.03,0,0.935,medium,clear,0,1.85,Tuesday,0,R056,S00739
D00159,HS000789,R0014,TRK006,road,2025-09-15 17:06:00,188.0,6.16,9.24,3.08,0,0.756,low,clear,1,1.49,Monday,1,R014,S00789
D00160,HS001010,R0002,TRK019,road,2025-07-15 10:44:00,414.0,10.6,11.51,0.91,0,0.988,low,cloudy,1,1.15,Tuesday,0,R002,S01010
D00161,HS000681,R0019,TRK005,road,2025-04-09 15:51:00,172.5,7.24,11.18,3.94,0,0.818,high,cloudy,1,2.3,Wednesday,0,R019,S00681
D00162,HS000654,R0080,TRK025,rail,2025-08-17 18:45:00,198.2,7.89,12.94,5.05,0,0.952,high,clear,0,2.38,Sunday,1,R080,S00654
D00163,HS001451,R0038,TRK048,rail,2026-02-02 07:33:00,275.7,7.44,11.27,3.83,0,0.822,medium,clear,0,1.52,Monday,1,R038,S01451
D00164,HS000152,R0027,TRK029,rail,2025-11-05 02:41:00,439.0,17.32,20.47,3.15,0,0.935,medium,clear,0,0.82,Wednesday,0,R027,S00152
D00165,HS001362,R0058,TRK039,road,2026-04-10 17:00:00,232.4,8.38,11.9,3.52,0,0.907,medium,rain,0,2.26,Friday,1,R058,S01362
D00166,HS001143,R0046,TRK011,road,2026-01-07 20:42:00,61.3,3.32,8.38,5.06,0,0.828,medium,heavy_rain,0,0.27,Wednesday,1,R046,S01143
D00167,HS000291,R0075,TRK045,road,2025-03-04 12:25:00,254.0,9.02,12.08,3.06,0,0.879,medium,clear,0,0.49,Tuesday,0,R075,S00291
D00168,HS000703,R0045,TRK020,road,2025-01-17 10:42:00,416.4,11.27,15.24,3.97,0,0.746,medium,clear,0,0.35,Friday,0,R045,S00703
