record_id,shipment_id,hour_from_departure,temperature_c,required_min_temp_c,required_max_temp_c,sensor_quality,in_range,shipment_id_raw
T0000086,HS002167,17,2.43,2.0,8.0,Fair,1,HS002167
T0000087,HS008398,23,2.24,2.0,8.0,Good,1,HS008398
T0000088,HS006360,19,20.54,15.0,30.0,Good,1,HS006360
T0000089,HS002825,11,16.88,15.0,30.0,Good,1,HS002825
T0000090,HS003309,8,21.1,15.0,30.0,Fair,1,HS003309
T0000091,HS004246,13,2.77,2.0,8.0,Fair,1,HS004246
T0000092,HS000257,3,8.32,8.0,12.0,Good,1,HS000257
T0000093,HS007922,17,14.39,12.0,15.0,Fair,1,HS007922
T0000094,HS002551,15,2.4,-2.0,4.0,Fair,1,HS002551
T0000095,HS006252,14,7.7,2.0,8.0,Good,1,HS006252
T0000096,HS000443,1,10.49,8.0,12.0,Fair,1,HS000443
T0000097,HS009647,11,12.82,12.0,15.0,Fair,1,HS009647
T0000098,HS011880,7,-1.03,-2.0,4.0,Good,1,HS011880
T0000099,HS001215,4,8.05,8.0,13.0,Fair,1,HS001215
T0000100,HS003450,23,28.01,15.0,30.0,Good,1,HS003450
T0000101,HS003647,24,-0.91,-2.0,4.0,Good,1,HS003647
T0000102,HS004034,22,-16.29,-20.0,-15.0,Good,1,HS004034
T0000103,HS003820,7,7.58,2.0,8.0,Fair,1,HS003820
T0000104,HS007798,10,25.5,15.0,30.0,Good,1,HS007798
T0000105,HS003565,23,20.42,15.0,30.0,Good,1,HS003565
T0000106,HS007151,16,11.71,8.0,12.0,Good,1,HS007151
T0000107,HS001153,7,5.62,2.0,8.0,Good,1,HS001153
T0000108,HS008557,5,8.94,8.0,12.0,Good,1,HS008557
T0000109,HS008915,10,5.17,2.0,8.0,Good,1,HS008915
T0000110,HS001736,23,5.79,2.0,8.0,Good,1,HS001736
T0000111,HS005546,24,5.03,2.0,8.0,Good,1,HS005546
T0000112,HS001902,9,10.98,8.0,12.0,Good,1,HS001902
T0000113,HS007491,14,25.89,15.0,30.0,Fair,1,HS007491
T0000114,HS001049,21,12.54,8.0,13.0,Good,1,HS001049
T0000115,HS006785,15,8.91,8.0,12.0,Good,1,HS006785
T0000116,HS005455,19,21.07,15.0,30.0,Fair,1,HS005455
T0000117,HS011900,8,8.39,8.0,12.0,Good,1,HS011900
T0000118,HS001571,2,8.6,8.0,13.0,Good,1,HS001571
T0000119,HS008710,0,8.32,8.0,12.0,Good,1,HS008710
T0000120,HS002680,3,3.51,2.0,8.0,Fair,1,HS002680
T0000121,HS006236,11,7.9,2.0,8.0,Good,1,HS006236
T0000122,HS010780,12,14.54,12.0,15.0,Good,1,HS010780
T0000123,HS007452,18,0.84,-2.0,4.0,Fair,1,HS007452
T0000124,HS004819,20,3.96,2.0,8.0,Good,1,HS004819
T0000125,HS011424,1,10.49,2.0,8.0,Fair,0,HS011424
T0000126,HS005157,19,3.62,2.0,8.0,Good,1,HS005157
T0000127,HS007523,16,10.36,8.0,13.0,Fair,1,HS007523
T0000128,HS006019,6,4.56,2.0,8.0,Good,1,HS006019
T0000129,HS005362,5,19.73,15.0,30.0,Good,1,HS005362
T0000130,HS010768,24,-16.92,-20.0,-15.0,Good,1,HS010768
T0000131,HS000924,23,6.16,2.0,8.0,Good,1,HS000924
T0000132,HS006141,9,12.63,12.0,15.0,Good,1,HS006141
T0000133,HS004645,21,6.33,2.0,8.0,Fair,1,HS004645
T0000134,HS001577,21,10.6,8.0,13.0,Fair,1,HS001577
T0000135,HS010190,18,5.44,2.0,8.0,Fair,1,HS010190
T0000136,HS000985,0,14.11,8.0,12.0,Good,0,HS000985
T0000137,HS006387,9,0.34,-2.0,4.0,Good,1,HS006387
T0000138,HS008773,2,28.59,15.0,30.0,Good,1,HS008773
T0000139,HS009299,8,5.5,2.0,8.0,Good,1,HS009299
T0000140,HS010514,4,12.31,8.0,13.0,Good,1,HS010514
T0000141,HS003456,17,6.79,2.0,8.0,Good,1,HS003456
T0000142,HS000885,22,19.3,15.0,30.0,Good,1,HS000885
T0000143,HS004364,2,-0.57,-2.0,4.0,Good,1,HS004364
T0000144,HS009871,11,10.55,8.0,13.0,Fair,1,HS009871
T0000145,HS002968,20,14.81,12.0,15.0,Good,1,HS002968
T0000146,HS002919,3,2.23,2.0,8.0,Good,1,HS002919
T0000147,HS001901,11,8.87,8.0,13.0,Good,1,HS001901
T0000148,HS010980,0,5.52,2.0,8.0,Good,1,HS010980
T0000149,HS003064,19,2.58,2.0,8.0,Fair,1,HS003064
T0000150,HS006178,16,11.37,8.0,12.0,Good,1,HS006178
T0000151,HS004556,1,4.84,2.0,8.0,Good,1,HS004556
T0000152,HS000899,11,12.66,8.0,13.0,Good,1,HS000899
T0000153,HS002810,14,17.68,15.0,30.0,Fair,1,HS002810
T0000154,HS005952,22,12.94,12.0,15.0,Fair,1,HS005952
T0000155,HS004317,23,3.82,2.0,8.0,Good,1,HS004317
T0000156,HS010768,3,-18.72,-20.0,-15.0,Good,1,HS010768
T0000157,HS000693,5,9.45,8.0,12.0,Fair,1,HS000693
T0000158,HS005482,15,10.78,8.0,12.0,Fair,1,HS005482
T0000159,HS008220,10,26.09,15.0,30.0,Good,1,HS008220
T0000160,HS010198,1,26.4,15.0,30.0,Fair,1,HS010198
T0000161,HS011275,2,6.51,2.0,8.0,Good,1,HS011275
T0000162,HS007605,10,2.25,2.0,8.0,Good,1,HS007605
T0000163,HS002863,6,25.36,15.0,30.0,Fair,1,HS002863
T0000164,HS002493,23,7.87,2.0,8.0,Fair,1,HS002493
T0000165,HS002743,10,3.19,2.0,8.0,Good,1,HS002743
T0000166,HS009653,11,7.25,2.0,8.0,Good,1,HS009653
T0000167,HS004231,15,-15.31,-20.0,-15.0,Fair,1,HS004231
T0000168,HS004278,12,24.79,15.0,30.0,Fair,1,HS004278
T0000169,HS005064,15,12.6,12.0,15.0,Good,1,HS005064
T0000170,HS002338,18,3.2,2.0,8.0,Good,1,HS002338
T0000171,HS001387,22,11.99,8.0,13.0,Good,1,HS001387
T0000172,HS007430,20,3.83,2.0,8.0,Good,1,HS007430
T0000173,HS003754,13,2.08,2.0,8.0,Fair,1,HS003754
T0000174,HS002999,20,10.48,8.0,12.0,Good,1,HS002999
T0000175,HS008845,19,24.91,15.0,30.0,Good,1,HS008845
T0000176,HS007926,14,6.28,2.0,8.0,Good,1,HS007926
T0000177,HS011703,1,28.08,15.0,30.0,Good,1,HS011703
T0000178,HS002433,24,12.65,12.0,15.0,Fair,1,HS002433
T0000179,HS006411,2,1.92,-2.0,4.0,Good,1,HS006411
T0000180,HS010773,24,14.05,12.0,15.0,Fair,1,HS010773
T0000181,HS003928,9,-0.63,-2.0,4.0,Fair,1,HS003928
T0000182,HS008001,14,6.08,2.0,8.0,Good,1,HS008001
T0000183,HS003781,13,22.99,15.0,30.0,Good,1,HS003781
T0000184,HS009580,2,29.32,15.0,30.0,Good,1,HS009580
T0000185,HS010537,19,6.84,2.0,8.0,Good,1,HS010537
T0000186,HS004108,1,9.79,8.0,12.0,Good,1,HS004108
T0000187,HS000782,5,8.75,2.0,8.0,Good,0,HS000782
T0000188,HS006918,6,3.5,2.0,8.0,Good,1,HS006918
T0000189,HS008728,24,4.85,2.0,8.0,Good,1,HS008728
T0000190,HS010218,23,4.35,2.0,8.0,Good,1,HS010218
T0000191,HS008952,14,5.03,2.0,8.0,Good,1,HS008952
T0000192,HS003120,23,19.52,15.0,30.0,Good,1,HS003120
T0000193,HS010148,4,27.57,15.0,30.0,Fair,1,HS010148
T0000194,HS000151,8,9.65,8.0,12.0,Good,1,HS000151
T0000195,HS011712,12,5.5,2.0,8.0,Good,1,HS011712
T0000196,HS009826,15,23.84,15.0,30.0,Fair,1,HS009826
T0000197,HS008408,11,9.93,8.0,12.0,Fair,1,HS008408
T0000198,HS008080,7,6.97,2.0,8.0,Good,1,HS008080
T0000199,HS010371,12,-16.12,-20.0,-15.0,Good,1,HS010371
T0000200,HS000801,15,11.21,8.0,13.0,Fair,1,HS000801
T0000201,HS010112,14,27.51,15.0,30.0,Good,1,HS010112
T0000202,HS002831,16,15.98,15.0,30.0,Good,1,HS002831
T0000203,HS010187,5,14.41,12.0,15.0,Fair,1,HS010187
T0000204,HS003963,11,2.44,2.0,8.0,Good,1,HS003963
T0000205,HS007120,18,13.09,12.0,15.0,Good,1,HS007120
T0000206,HS001887,19,-1.13,2.0,8.0,Good,0,HS001887
T0000207,HS002902,24,7.7,2.0,8.0,Good,1,HS002902
T0000208,HS003004,12,7.53,2.0,8.0,Good,1,HS003004
T0000209,HS001546,18,4.45,2.0,8.0,Good,1,HS001546
T0000210,HS008491,8,2.64,2.0,8.0,Fair,1,HS008491
T0000211,HS001020,5,9.4,8.0,13.0,Good,1,HS001020
T0000212,HS004982,23,7.64,2.0,8.0,Good,1,HS004982
T0000213,HS001550,19,24.31,15.0,30.0,Fair,1,HS001550
T0000214,HS006232,14,2.58,2.0,8.0,Fair,1,HS006232
T0000215,HS001976,2,10.92,8.0,13.0,Good,1,HS001976
T0000216,HS010809,6,13.64,12.0,15.0,Good,1,HS010809
T0000217,HS005428,24,21.78,15.0,30.0,Good,1,HS005428
T0000218,HS001300,24,8.09,8.0,13.0,Good,1,HS001300
T0000219,HS011865,1,24.28,15.0,30.0,Good,1,HS011865
T0000220,HS003674,14,4.94,2.0,8.0,Good,1,HS003674
T0000221,HS008771,17,-18.58,-20.0,-15.0,Fair,1,HS008771
T0000222,HS010238,16,10.95,8.0,13.0,Good,1,HS010238
T0000223,HS008543,7,10.57,8.0,12.0,Fair,1,HS008543
T0000224,HS004409,14,5.38,2.0,8.0,Good,1,HS004409
T0000225,HS006366,24,4.81,2.0,8.0,Fair,1,HS006366
T0000226,HS001784,22,16.13,15.0,30.0,Good,1,HS001784
T0000227,HS011303,10,4.18,2.0,8.0,Fair,1,HS011303
T0000228,HS004569,1,0.4,-2.0,4.0,Good,1,HS004569
T0000229,HS011279,0,8.65,8.0,12.0,Good,1,HS011279
T0000230,HS006150,22,8.97,8.0,12.0,Good,1,HS006150
T0000231,HS005284,9,4.55,2.0,8.0,Fair,1,HS005284
T0000232,HS005897,13,2.45,-2.0,4.0,Good,1,HS005897
T0000233,HS008122,2,18.02,15.0,30.0,Fair,1,HS008122
T0000234,HS011768,23,10.19,8.0,12.0,Good,1,HS011768
T0000235,HS011777,16,6.4,2.0,8.0,Good,1,HS011777
T0000236,HS009857,6,12.1,8.0,13.0,Good,1,HS009857
T0000237,HS010393,20,14.2,12.0,15.0,Good,1,HS010393
T0000238,HS011183,24,7.62,2.0,8.0,Fair,1,HS011183
T0000239,HS010694,21,17.4,15.0,30.0,Good,1,HS010694
T0000240,HS007620,11,16.16,15.0,30.0,Good,1,HS007620
T0000241,HS004060,22,6.85,2.0,8.0,Good,1,HS004060
T0000242,HS011788,10,6.29,2.0,8.0,Good,1,HS011788
T0000243,HS011280,3,3.11,2.0,8.0,Good,1,HS011280
T0000244,HS005071,21,13.67,12.0,15.0,Good,1,HS005071
T0000245,HS000388,8,10.58,8.0,12.0,Fair,1,HS000388
T0000246,HS000438,8,8.4,8.0,13.0,Good,1,HS000438
T0000247,HS010740,11,21.01,12.0,15.0,Good,0,HS010740
T0000248,HS010533,16,3.8,2.0,8.0,Good,1,HS010533
T0000249,HS001219,5,5.79,2.0,8.0,Good,1,HS001219
T0000250,HS010537,15,3.06,2.0,8.0,Good,1,HS010537
T0000251,HS010963,24,7.65,2.0,8.0,Fair,1,HS010963
T0000252,HS000628,17,24.22,15.0,30.0,Good,1,HS000628
T0000253,HS001161,16,7.0,2.0,8.0,Fair,1,HS001161
T0000254,HS008819,15,27.13,15.0,30.0,Good,1,HS008819
T0000255,HS007499,2,15.62,15.0,30.0,Good,1,HS007499
T0000256,HS007220,12,9.02,8.0,12.0,Fair,1,HS007220
T0000257,HS011562,24,-16.9,-20.0,-15.0,Good,1,HS011562
T0000258,HS001134,2,13.46,12.0,15.0,Good,1,HS001134
T0000259,HS002477,2,6.99,2.0,8.0,Fair,1,HS002477
T0000260,HS001800,17,26.05,15.0,30.0,Good,1,HS001800
T0000261,HS006999,9,27.58,15.0,30.0,Good,1,HS006999
T0000262,HS011229,20,15.13,8.0,13.0,Good,0,HS011229
T0000263,HS009805,9,17.65,15.0,30.0,Good,1,HS009805
T0000264,HS000928,9,24.98,15.0,30.0,Fair,1,HS000928
T0000265,HS009889,23,14.49,8.0,13.0,Fair,0,HS009889
T0000266,HS000394,17,4.32,2.0,8.0,Good,1,HS000394
T0000267,HS002854,6,9.83,8.0,12.0,Fair,1,HS002854
T0000268,HS009587,20,4.38,2.0,8.0,Good,1,HS009587
T0000269,HS004589,21,10.77,8.0,12.0,Good,1,HS004589
T0000270,HS000281,3,10.09,8.0,13.0,Fair,1,HS000281
T0000271,HS003403,13,14.01,12.0,15.0,Fair,1,HS003403
T0000272,HS005438,2,5.58,2.0,8.0,Good,1,HS005438
T0000273,HS009261,9,-18.34,-20.0,-15.0,Good,1,HS009261
T0000274,HS000187,2,4.58,2.0,8.0,Good,1,HS000187
T0000275,HS011449,20,22.46,15.0,30.0,Good,1,HS011449
T0000276,HS010554,18,10.09,8.0,13.0,Fair,1,HS010554
T0000277,HS000864,14,9.94,8.0,12.0,Good,1,HS000864
T0000278,HS000820,18,-17.43,-20.0,-15.0,Fair,1,HS000820
T0000279,HS004395,21,15.61,15.0,30.0,Good,1,HS004395
T0000280,HS007821,11,11.26,8.0,13.0,Fair,1,HS007821
T0000281,HS007996,9,12.2,8.0,13.0,Good,1,HS007996
T0000282,HS007593,23,4.19,2.0,8.0,Good,1,HS007593
T0000283,HS004743,0,2.61,2.0,8.0,Good,1,HS004743
T0000284,HS007302,6,7.9,2.0,8.0,Fair,1,HS007302
T0000285,HS003818,20,-19.39,-20.0,-15.0,Fair,1,HS003818
T0000286,HS003473,22,5.32,2.0,8.0,Good,1,HS003473
T0000287,HS008266,10,8.92,8.0,12.0,Good,1,HS008266
T0000288,HS000350,24,26.49,15.0,30.0,Good,1,HS000350
T0000289,HS007178,5,4.92,2.0,8.0,Good,1,HS007178
T0000290,HS011753,6,1.94,-2.0,4.0,Good,1,HS011753
T0000291,HS002913,1,2.72,2.0,8.0,Good,1,HS002913
T0000292,HS006126,8,4.6,2.0,8.0,Fair,1,HS006126
T0000293,HS004481,2,3.49,2.0,8.0,Good,1,HS004481
T0000294,HS010120,8,22.26,15.0,30.0,Good,1,HS010120
T0000295,HS005190,9,2.68,2.0,8.0,Good,1,HS005190
T0000296,HS004615,18,2.76,2.0,8.0,Good,1,HS004615
T0000297,HS011566,18,13.37,12.0,15.0,Good,1,HS011566
T0000298,HS002079,4,21.9,15.0,30.0,Good,1,HS002079
T0000299,HS011303,18,3.06,2.0,8.0,Good,1,HS011303
T0000300,HS005560,16,18.66,15.0,30.0,Good,1,HS005560
T0000301,HS004515,16,24.21,15.0,30.0,Good,1,HS004515
T0000302,HS001752,20,13.32,12.0,15.0,Good,1,HS001752
T0000303,HS002854,11,10.26,8.0,12.0,Good,1,HS002854
T0000304,HS003586,18,10.56,8.0,13.0,Good,1,HS003586
T0000305,HS007805,17,-1.7,-2.0,4.0,Fair,1,HS007805
T0000306,HS009980,5,9.41,8.0,12.0,Good,1,HS009980
T0000307,HS001283,22,10.88,2.0,8.0,Good,0,HS001283
T0000308,HS006260,4,3.97,2.0,8.0,Fair,1,HS006260
T0000309,HS006244,1,10.29,8.0,12.0,Good,1,HS006244
T0000310,HS003165,4,26.08,15.0,30.0,Good,1,HS003165
T0000311,HS009297,6,12.43,8.0,13.0,Good,1,HS009297
T0000312,HS001886,5,5.2,2.0,8.0,Good,1,HS001886
T0000313,HS004586,12,9.71,8.0,13.0,Good,1,HS004586
T0000314,HS004104,4,21.5,15.0,30.0,Good,1,HS004104
T0000315,HS004005,24,25.69,15.0,30.0,Good,1,HS004005
T0000316,HS007945,22,27.58,15.0,30.0,Good,1,HS007945
T0000317,HS003636,4,14.74,12.0,15.0,Fair,1,HS003636
T0000318,HS010359,10,16.77,15.0,30.0,Fair,1,HS010359
T0000319,HS005985,11,14.78,12.0,15.0,Fair,1,HS005985
T0000320,HS008094,18,16.67,15.0,30.0,Fair,1,HS008094
T0000321,HS006328,8,23.09,15.0,30.0,Good,1,HS006328
T0000322,HS006726,19,5.15,8.0,13.0,Fair,0,HS006726
T0000323,HS007206,16,3.55,2.0,8.0,Good,1,HS007206
T0000324,HS000429,10,11.25,8.0,13.0,Good,1,HS000429
T0000325,HS007223,19,13.61,12.0,15.0,Fair,1,HS007223
T0000326,HS009659,10,12.43,8.0,13.0,Good,1,HS009659
T0000327,HS001926,13,12.93,12.0,15.0,Good,1,HS001926
T0000328,HS008151,8,2.07,2.0,8.0,Good,1,HS008151
T0000329,HS006465,16,9.45,8.0,13.0,Good,1,HS006465
T0000330,HS008785,19,20.73,15.0,30.0,Good,1,HS008785
T0000331,HS003116,17,12.51,12.0,15.0,Good,1,HS003116
T0000332,HS006561,9,9.46,8.0,12.0,Good,1,HS006561
T0000333,HS003941,11,18.43,15.0,30.0,Good,1,HS003941
T0000334,HS003721,6,10.48,8.0,13.0,Fair,1,HS003721
T0000335,HS009306,18,6.51,2.0,8.0,Good,1,HS009306
T0000336,HS006214,23,6.22,2.0,8.0,Good,1,HS006214
T0000337,HS000319,24,5.52,2.0,8.0,Fair,1,HS000319
T0000338,HS010523,16,2.03,2.0,8.0,Good,1,HS010523
T0000339,HS000796,9,11.13,8.0,13.0,Fair,1,HS000796
T0000340,HS005745,13,6.34,2.0,8.0,Good,1,HS005745
T0000341,HS010556,12,13.29,12.0,15.0,Good,1,HS010556
T0000342,HS009873,22,10.68,8.0,12.0,Good,1,HS009873
T0000343,HS002512,17,3.12,2.0,8.0,Good,1,HS002512
T0000344,HS010040,14,4.45,2.0,8.0,Good,1,HS010040
T0000345,HS004396,20,2.94,2.0,8.0,Good,1,HS004396
T0000346,HS005827,15,12.34,2.0,8.0,Good,0,HS005827
T0000347,HS000969,23,4.83,2.0,8.0,Good,1,HS000969
T0000348,HS001829,15,7.64,2.0,8.0,Fair,1,HS001829
T0000349,HS004375,16,7.14,2.0,8.0,Good,1,HS004375
T0000350,HS004427,12,5.06,2.0,8.0,Good,1,HS004427
T0000351,HS004602,23,12.13,12.0,15.0,Good,1,HS004602
T0000352,HS010143,23,2.34,2.0,8.0,Good,1,HS010143
T0000353,HS005664,7,6.84,2.0,8.0,Good,1,HS005664
T0000354,HS003432,8,7.2,2.0,8.0,Good,1,HS003432
T0000355,HS008157,12,12.82,8.0,13.0,Good,1,HS008157
T0000356,HS010833,10,5.39,2.0,8.0,Fair,1,HS010833
T0000357,HS002041,8,8.13,8.0,12.0,Good,1,HS002041
T0000358,HS001598,10,23.79,15.0,30.0,Good,1,HS001598
T0000359,HS009502,1,-16.49,-20.0,-15.0,Good,1,HS009502
T0000360,HS006948,12,4.59,2.0,8.0,Good,1,HS006948
T0000361,HS003111,14,6.51,2.0,8.0,Good,1,HS003111
T0000362,HS009056,7,5.97,2.0,8.0,Good,1,HS009056
T0000363,HS006394,13,14.12,12.0,15.0,Fair,1,HS006394
T0000364,HS009933,6,13.86,12.0,15.0,Good,1,HS009933
T0000365,HS005330,17,8.41,8.0,13.0,Good,1,HS005330
T0000366,HS002460,21,-24.05,-20.0,-15.0,Good,0,HS002460
T0000367,HS010273,12,4.92,2.0,8.0,Fair,1,HS010273
T0000368,HS009199,13,1.98,-2.0,4.0,Good,1,HS009199
T0000369,HS002930,1,5.57,2.0,8.0,Good,1,HS002930
T0000370,HS004388,16,-0.06,-2.0,4.0,Good,1,HS004388
T0000371,HS007560,2,27.03,15.0,30.0,Good,1,HS007560
T0000372,HS000422,4,2.02,2.0,8.0,Good,1,HS000422
T0000373,HS009460,15,9.22,8.0,12.0,Good,1,HS009460
T0000374,HS006337,7,5.83,2.0,8.0,Good,1,HS006337
T0000375,HS000646,3,2.34,2.0,8.0,Good,1,HS000646
T0000376,HS004021,24,29.65,15.0,30.0,Good,1,HS004021
T0000377,HS004517,8,19.62,15.0,30.0,Good,1,HS004517
T0000378,HS009613,0,7.29,2.0,8.0,Good,1,HS009613
T0000379,HS009608,14,19.74,15.0,30.0,Good,1,HS009608
T0000380,HS005378,7,15.96,15.0,30.0,Good,1,HS005378
T0000381,HS010788,12,2.16,2.0,8.0,Good,1,HS010788
T0000382,HS007535,13,21.45,15.0,30.0,Fair,1,HS007535
T0000383,HS004970,6,9.19,8.0,12.0,Good,1,HS004970
T0000384,HS008589,7,4.67,2.0,8.0,Good,1,HS008589
T0000385,HS006685,15,17.65,15.0,30.0,Good,1,HS006685
T0000386,HS011501,5,9.99,8.0,13.0,Good,1,HS011501
T0000387,HS011924,9,2.98,2.0,8.0,Good,1,HS011924
T0000388,HS010674,19,2.19,-2.0,4.0,Good,1,HS010674
T0000389,HS010367,9,4.25,2.0,8.0,Fair,1,HS010367
T0000390,HS010075,21,9.95,8.0,12.0,Good,1,HS010075
T0000391,HS005666,23,31.56,15.0,30.0,Fair,0,HS005666
T0000392,HS004720,21,2.48,2.0,8.0,Good,1,HS004720
T0000393,HS006012,13,-18.37,-20.0,-15.0,Good,1,HS006012
T0000394,HS004922,0,5.07,2.0,8.0,Fair,1,HS004922
T0000395,HS006421,14,9.57,8.0,13.0,Good,1,HS006421
T0000396,HS007455,9,9.03,2.0,8.0,Good,0,HS007455
T0000397,HS001197,21,-18.11,-20.0,-15.0,Good,1,HS001197
T0000398,HS002063,8,11.25,8.0,13.0,Good,1,HS002063
T0000399,HS004023,21,5.43,2.0,8.0,Fair,1,HS004023
T0000400,HS002439,8,12.87,8.0,13.0,Good,1,HS002439
T0000401,HS005066,17,0.19,2.0,8.0,Good,0,HS005066
T0000402,HS002862,21,2.8,2.0,8.0,Good,1,HS002862
