availability_id,vehicle_id,date,vehicle_type,capacity_kg,min_temp_c,max_temp_c,home_location,current_location,availability_status,available_from,available_until,estimated_cost_per_km,maintenance_status,utilization_rate,vehicle_id_raw
VA00039,TRK0036,2025-04-10,Dry,750,15,35,Sambalpur,Gopalpur,assigned,2026-08-30 05:00:00,2026-08-30 20:00:00,20.75,good,0.947,TRK0036
VA00040,TRK0032,2025-05-15,Dry,2000,15,35,Jajpur,Cuttack,assigned,2026-08-30 07:00:00,2026-08-30 23:59:00,36.32,good,0.688,TRK0032
VA00041,TRK0004,2026-06-09,Dry,750,15,35,Sambalpur,Gopalpur,assigned,2026-08-30 05:00:00,2026-08-30 20:00:00,26.97,maintenance,0.728,TRK0004
VA00042,TRK0043,2025-10-25,Reefer,1000,2,8,Bhubaneswar,Gopalpur,assigned,2026-08-30 05:00:00,2026-08-30 18:00:00,33.81,good,0.213,TRK0043
VA00043,TRK0039,2026-01-27,Local,300,10,35,Puri,Rourkela,assigned,2026-08-30 07:00:00,2026-08-30 23:59:00,25.46,good,0.312,TRK0039
VA00044,TRK0041,2025-08-12,Local,500,10,35,Berhampur,Kolkata,assigned,2026-08-30 06:00:00,2026-08-30 18:00:00,18.11,good,0.501,TRK0041
VA00045,TRK0034,2025-01-21,Dry,1500,15,35,Bhubaneswar,Gopalpur,assigned,2026-08-30 12:00:00,2026-08-30 23:59:00,28.07,good,0.486,TRK0034
VA00046,TRK0036,2025-07-28,Reefer,750,2,8,Balasore,Berhampur,available,2026-08-30 14:00:00,2026-08-30 20:00:00,24.41,good,0.556,TRK0036
VA00047,TRK0010,2025-10-19,Local,500,10,35,Kharagpur,Gopalpur,assigned,2026-08-30 12:00:00,2026-08-30 22:00:00,28.71,maintenance,0.704,TRK0010
VA00048,TRK0045,2026-07-10,Dry,500,15,35,Balasore,Puri,available,2026-08-30 07:00:00,2026-08-30 20:00:00,21.46,inspection_due,0.625,TRK0045
VA00049,TRK0018,2025-10-14,Dry,2000,15,35,Cuttack,Berhampur,available,2026-08-30 12:00:00,2026-08-30 22:00:00,14.83,good,0.582,TRK0018
VA00050,TRK0022,2025-03-15,Reefer,1000,2,8,Sambalpur,Puri,assigned,2026-08-30 05:00:00,2026-08-30 22:00:00,29.78,maintenance,0.666,TRK0022
VA00051,TRK0023,2025-03-05,Local,500,10,35,Gopalpur,Berhampur,available,2026-08-30 10:00:00,2026-08-30 20:00:00,28.39,maintenance,0.39,TRK0023
VA00052,TRK0020,2026-05-09,Dry,500,15,35,Kolkata,Jajpur,assigned,2026-08-30 07:00:00,2026-08-30 16:00:00,12.94,good,0.622,TRK0020
VA00053,TRK0001,2026-06-04,Dry,500,15,35,Jajpur,Gopalpur,assigned,2026-08-30 07:00:00,2026-08-30 23:59:00,35.17,inspection_due,0.662,TRK0001
VA00054,TRK0049,2025-03-13,Reefer,750,-2,8,Puri,Sambalpur,available,2026-08-30 10:00:00,2026-08-30 23:59:00,24.46,good,0.34,TRK0049
VA00055,TRK0028,2025-03-15,Reefer,750,2,8,Jajpur,Berhampur,unavailable,2026-08-30 12:00:00,2026-08-30 20:00:00,32.7,good,0.429,TRK0028
VA00056,TRK0026,2025-04-24,Local,300,10,35,Cuttack,Kharagpur,unavailable,2026-08-30 05:00:00,2026-08-30 20:00:00,20.37,good,0.946,TRK0026
VA00057,TRK0016,2026-04-27,Reefer,1500,2,12,Sambalpur,Bhubaneswar,available,2026-08-30 14:00:00,2026-08-30 18:00:00,33.41,good,0.687,TRK0016
VA00058,TRK0043,2026-02-13,Local,500,10,35,Berhampur,Rourkela,available,2026-08-30 14:00:00,2026-08-30 23:59:00,37.03,maintenance,0.538,TRK0043
VA00059,TRK0037,2026-06-28,Dry,750,15,35,Jajpur,Cuttack,available,2026-08-30 14:00:00,2026-08-30 18:00:00,33.97,good,0.778,TRK0037
VA00060,TRK0015,2025-06-25,Dry,1500,15,35,Berhampur,Cuttack,available,2026-08-30 06:00:00,2026-08-30 20:00:00,25.6,inspection_due,0.667,TRK0015
VA00061,TRK0023,2025-09-03,Reefer,500,4,12,Cuttack,Cuttack,available,2026-08-30 10:00:00,2026-08-30 16:00:00,27.63,good,0.302,TRK0023
VA00062,TRK0040,2025-05-14,Dry,500,15,35,Sambalpur,Rourkela,assigned,2026-08-30 08:00:00,2026-08-30 23:59:00,33.73,good,0.77,TRK0040
VA00063,TRK0023,2025-06-20,Local,500,10,35,Berhampur,Puri,available,2026-08-30 14:00:00,2026-08-30 22:00:00,15.98,good,0.938,TRK0023
VA00064,TRK0024,2025-09-18,Reefer,750,-2,8,Jajpur,Rourkela,unavailable,2026-08-30 14:00:00,2026-08-30 18:00:00,20.08,good,0.258,TRK0024
VA00065,TRK0021,2026-01-03,Dry,1500,15,35,Bhubaneswar,Rourkela,maintenance,2026-08-30 06:00:00,2026-08-30 18:00:00,29.32,good,0.932,TRK0021
VA00066,TRK0011,2025-07-31,Reefer,750,-2,8,Sambalpur,Kolkata,available,2026-08-30 10:00:00,2026-08-30 20:00:00,30.66,good,0.771,TRK0011
VA00067,TRK0042,2026-02-21,Reefer,500,2,8,Rourkela,Berhampur,assigned,2026-08-30 10:00:00,2026-08-30 22:00:00,36.19,maintenance,0.48,TRK0042
VA00068,TRK0028,2026-01-04,Local,300,10,35,Angul,Balasore,available,2026-08-30 14:00:00,2026-08-30 16:00:00,22.71,good,0.34,TRK0028
VA00069,TRK0026,2026-03-23,Dry,1000,15,35,Balasore,Cuttack,assigned,2026-08-30 10:00:00,2026-08-30 18:00:00,14.84,good,0.351,TRK0026
VA00070,TRK0031,2026-07-18,Dry,1500,15,35,Cuttack,Cuttack,available,2026-08-30 08:00:00,2026-08-30 22:00:00,19.45,good,0.7,TRK0031
VA00071,TRK0034,2026-04-04,Dry,1000,15,35,Cuttack,Berhampur,available,2026-08-30 08:00:00,2026-08-30 16:00:00,21.92,maintenance,0.808,TRK0034
VA00072,TRK0033,2026-08-19,Dry,1000,15,35,Balasore,Kharagpur,available,2026-08-30 06:00:00,2026-08-30 18:00:00,20.82,good,0.556,TRK0033
VA00073,TRK0023,2025-04-28,Dry,1000,15,35,Balasore,Kolkata,assigned,2026-08-30 12:00:00,2026-08-30 16:00:00,31.72,inspection_due,0.231,TRK0023
VA00074,TRK0025,2025-01-08,Reefer,1000,2,12,Sambalpur,Balasore,available,2026-08-30 06:00:00,2026-08-30 23:59:00,15.48,inspection_due,0.154,TRK0025
VA00075,TRK0017,2026-08-07,Reefer,2000,2,8,Angul,Kharagpur,available,2026-08-30 06:00:00,2026-08-30 18:00:00,20.13,good,0.292,TRK0017
VA00076,TRK0020,2025-11-02,Local,750,10,35,Angul,Berhampur,unavailable,2026-08-30 10:00:00,2026-08-30 22:00:00,15.89,good,0.325,TRK0020
VA00077,TRK0049,2025-11-05,Dry,750,15,35,Angul,Kolkata,available,2026-08-30 10:00:00,2026-08-30 22:00:00,20.57,maintenance,0.532,TRK0049
VA00078,TRK0045,2025-06-11,Dry,750,15,35,Balasore,Rourkela,available,2026-08-30 14:00:00,2026-08-30 20:00:00,13.69,good,0.662,TRK0045
VA00079,TRK0038,2025-03-24,Dry,750,15,35,Sambalpur,Gopalpur,available,2026-08-30 05:00:00,2026-08-30 23:59:00,12.95,good,0.521,TRK0038
VA00080,TRK0024,2025-03-01,Reefer,750,2,8,Sambalpur,Cuttack,assigned,2026-08-30 12:00:00,2026-08-30 18:00:00,32.27,inspection_due,0.461,TRK0024
VA00081,TRK0014,2025-05-31,Local,300,10,35,Gopalpur,Cuttack,assigned,2026-08-30 08:00:00,2026-08-30 22:00:00,27.17,maintenance,0.949,TRK0014
VA00082,TRK0050,2025-05-18,Reefer,1000,2,8,Angul,Balasore,available,2026-08-30 07:00:00,2026-08-30 16:00:00,36.29,good,0.795,TRK0050
VA00083,TRK0011,2026-08-15,Reefer,500,2,8,Jajpur,Kolkata,unavailable,2026-08-30 12:00:00,2026-08-30 16:00:00,34.48,good,0.823,TRK0011
VA00084,TRK0017,2025-05-15,Dry,2000,15,35,Balasore,Kolkata,maintenance,2026-08-30 14:00:00,2026-08-30 23:59:00,14.68,inspection_due,0.528,TRK0017
VA00085,TRK0008,2026-06-09,Dry,2000,15,35,Cuttack,Berhampur,assigned,2026-08-30 12:00:00,2026-08-30 22:00:00,23.59,good,0.511,TRK0008
VA00086,TRK0029,2026-06-03,Reefer,500,-2,8,Jajpur,Berhampur,available,2026-08-30 05:00:00,2026-08-30 22:00:00,36.79,good,0.238,TRK0029
VA00087,TRK0036,2026-03-17,Reefer,1000,2,12,Bhubaneswar,Bhubaneswar,available,2026-08-30 08:00:00,2026-08-30 22:00:00,13.26,good,0.425,TRK0036
VA00088,TRK0005,2025-09-19,Reefer,500,4,12,Kolkata,Cuttack,maintenance,2026-08-30 05:00:00,2026-08-30 20:00:00,30.86,good,0.253,TRK0005
VA00089,TRK0035,2025-03-20,Reefer,1000,-2,8,Puri,Rourkela,available,2026-08-30 05:00:00,2026-08-30 16:00:00,30.95,good,0.385,TRK0035
VA00090,TRK0030,2025-11-28,Reefer,750,2,8,Rourkela,Puri,assigned,2026-08-30 10:00:00,2026-08-30 16:00:00,19.16,good,0.721,TRK0030
VA00091,TRK0013,2026-04-25,Reefer,1500,2,12,Bhubaneswar,Balasore,unavailable,2026-08-30 12:00:00,2026-08-30 20:00:00,36.54,good,0.674,TRK0013
VA00092,TRK0035,2025-03-12,Dry,2000,15,35,Kolkata,Balasore,unavailable,2026-08-30 07:00:00,2026-08-30 16:00:00,20.81,maintenance,0.382,TRK0035
VA00093,TRK0036,2026-08-03,Dry,1000,15,35,Kolkata,Bhubaneswar,available,2026-08-30 14:00:00,2026-08-30 22:00:00,35.58,maintenance,0.599,TRK0036
VA00094,TRK0011,2025-07-02,Local,300,10,35,Kharagpur,Rourkela,available,2026-08-30 07:00:00,2026-08-30 22:00:00,32.79,maintenance,0.78,TRK0011
VA00095,TRK0002,2025-05-17,Dry,2000,15,35,Cuttack,Puri,available,2026-08-30 08:00:00,2026-08-30 18:00:00,32.15,good,0.547,TRK0002
VA00096,TRK0028,2025-06-02,Reefer,750,2,8,Bhubaneswar,Kolkata,available,2026-08-30 08:00:00,2026-08-30 22:00:00,25.84,good,0.289,TRK0028
VA00097,TRK0001,2025-12-31,Dry,2000,15,35,Gopalpur,Kolkata,unavailable,2026-08-30 12:00:00,2026-08-30 16:00:00,14.05,good,0.344,TRK0001
VA00098,TRK0005,2025-12-22,Reefer,500,-2,8,Cuttack,Balasore,assigned,2026-08-30 12:00:00,2026-08-30 22:00:00,25.41,maintenance,0.187,TRK0005
VA00099,TRK0013,2025-11-13,Dry,2000,15,35,Berhampur,Cuttack,assigned,2026-08-30 10:00:00,2026-08-30 20:00:00,17.98,maintenance,0.361,TRK0013
VA00100,TRK0005,2025-07-29,Reefer,500,2,8,Sambalpur,Puri,unavailable,2026-08-30 05:00:00,2026-08-30 20:00:00,32.44,inspection_due,0.828,TRK0005
VA00101,TRK0035,2025-08-24,Reefer,1500,2,12,Angul,Cuttack,available,2026-08-30 05:00:00,2026-08-30 23:59:00,26.83,good,0.534,TRK0035
VA00102,TRK0003,2025-08-31,Reefer,500,2,12,Rourkela,Bhubaneswar,available,2026-08-30 10:00:00,2026-08-30 20:00:00,33.68,maintenance,0.928,TRK0003
VA00103,TRK0017,2025-12-03,Local,500,10,35,Sambalpur,Kharagpur,available,2026-08-30 07:00:00,2026-08-30 16:00:00,26.43,good,0.345,TRK0017
VA00104,TRK0035,2026-01-12,Reefer,2000,4,12,Balasore,Kharagpur,assigned,2026-08-30 14:00:00,2026-08-30 23:59:00,37.62,good,0.632,TRK0035
VA00105,TRK0018,2025-09-08,Reefer,2000,2,12,Berhampur,Cuttack,assigned,2026-08-30 14:00:00,2026-08-30 23:59:00,14.61,good,0.861,TRK0018
VA00106,TRK0006,2025-07-11,Dry,2000,15,35,Cuttack,Berhampur,assigned,2026-08-30 14:00:00,2026-08-30 20:00:00,26.75,good,0.483,TRK0006
VA00107,TRK0017,2026-03-15,Dry,1000,15,35,Sambalpur,Jajpur,assigned,2026-08-30 05:00:00,2026-08-30 22:00:00,26.75,maintenance,0.276,TRK0017
VA00108,TRK0033,2026-08-01,Reefer,2000,2,12,Bhubaneswar,Jajpur,unavailable,2026-08-30 12:00:00,2026-08-30 22:00:00,32.39,good,0.836,TRK0033
VA00109,TRK0017,2026-05-01,Local,500,10,35,Puri,Jajpur,available,2026-08-30 14:00:00,2026-08-30 20:00:00,17.38,good,0.577,TRK0017
VA00110,TRK0024,2026-02-05,Dry,2000,15,35,Sambalpur,Puri,assigned,2026-08-30 06:00:00,2026-08-30 16:00:00,19.92,good,0.948,TRK0024
VA00111,TRK0033,2025-11-08,Reefer,500,2,12,Gopalpur,Rourkela,unavailable,2026-08-30 05:00:00,2026-08-30 18:00:00,13.53,good,0.228,TRK0033
VA00112,TRK0008,2026-01-21,Dry,1000,15,35,Kharagpur,Balasore,assigned,2026-08-30 12:00:00,2026-08-30 16:00:00,18.81,inspection_due,0.248,TRK0008
VA00113,TRK0012,2025-03-29,Dry,1500,15,35,Kharagpur,Jajpur,available,2026-08-30 06:00:00,2026-08-30 16:00:00,32.79,good,0.635,TRK0012
VA00114,TRK0034,2026-06-25,Reefer,2000,4,12,Gopalpur,Balasore,available,2026-08-30 05:00:00,2026-08-30 16:00:00,33.58,good,0.813,TRK0034
VA00115,TRK0037,2025-10-05,Local,750,10,35,Cuttack,Balasore,available,2026-08-30 12:00:00,2026-08-30 22:00:00,18.64,good,0.921,TRK0037
VA00116,TRK0003,2025-03-21,Dry,1000,15,35,Rourkela,Bhubaneswar,available,2026-08-30 12:00:00,2026-08-30 20:00:00,27.63,good,0.348,TRK0003
VA00117,TRK0026,2025-07-13,Dry,1500,15,35,Bhubaneswar,Puri,unavailable,2026-08-30 06:00:00,2026-08-30 23:59:00,36.12,maintenance,0.549,TRK0026
VA00118,TRK0016,2025-05-23,Dry,2000,15,35,Rourkela,Rourkela,assigned,2026-08-30 06:00:00,2026-08-30 16:00:00,28.09,maintenance,0.419,TRK0016
VA00119,TRK0012,2026-04-06,Reefer,2000,-2,8,Balasore,Berhampur,available,2026-08-30 06:00:00,2026-08-30 18:00:00,16.57,maintenance,0.35,TRK0012
VA00120,TRK0046,2025-12-24,Reefer,1000,2,8,Angul,Angul,maintenance,2026-08-30 14:00:00,2026-08-30 20:00:00,17.15,maintenance,0.847,TRK0046
VA00121,TRK0036,2025-04-17,Dry,1500,15,35,Kharagpur,Kharagpur,unavailable,2026-08-30 12:00:00,2026-08-30 18:00:00,35.21,good,0.194,TRK0036
VA00122,TRK0025,2025-06-12,Local,750,10,35,Cuttack,Kolkata,available,2026-08-30 06:00:00,2026-08-30 16:00:00,24.84,good,0.904,TRK0025
VA00123,TRK0022,2025-01-18,Dry,500,15,35,Bhubaneswar,Balasore,available,2026-08-30 08:00:00,2026-08-30 22:00:00,33.6,inspection_due,0.821,TRK0022
VA00124,TRK0023,2026-05-04,Reefer,1500,4,12,Sambalpur,Rourkela,unavailable,2026-08-30 12:00:00,2026-08-30 20:00:00,27.36,maintenance,0.685,TRK0023
VA00125,TRK0028,2025-10-29,Local,300,10,35,Berhampur,Angul,available,2026-08-30 10:00:00,2026-08-30 23:59:00,12.79,good,0.214,TRK0028
VA00126,TRK0038,2025-06-05,Dry,1500,15,35,Cuttack,Sambalpur,available,2026-08-30 10:00:00,2026-08-30 18:00:00,34.2,inspection_due,0.373,TRK0038
VA00127,TRK0013,2025-01-28,Dry,500,15,35,Puri,Angul,available,2026-08-30 12:00:00,2026-08-30 16:00:00,14.45,good,0.492,TRK0013
VA00128,TRK0048,2025-10-12,Reefer,1000,-2,8,Kolkata,Angul,available,2026-08-30 12:00:00,2026-08-30 20:00:00,12.28,maintenance,0.8,TRK0048
VA00129,TRK0020,2025-09-26,Dry,1500,15,35,Gopalpur,Sambalpur,assigned,2026-08-30 08:00:00,2026-08-30 22:00:00,23.21,inspection_due,0.559,TRK0020
VA00130,TRK0048,2026-08-17,Dry,1500,15,35,Bhubaneswar,Angul,available,2026-08-30 06:00:00,2026-08-30 18:00:00,29.44,inspection_due,0.212,TRK0048
VA00131,TRK0031,2025-12-31,Dry,750,15,35,Jajpur,Kharagpur,available,2026-08-30 06:00:00,2026-08-30 18:00:00,18.91,maintenance,0.325,TRK0031
VA00132,TRK0050,2025-03-09,Reefer,1500,4,12,Puri,Balasore,available,2026-08-30 08:00:00,2026-08-30 16:00:00,36.55,good,0.873,TRK0050
VA00133,TRK0041,2025-07-20,Local,500,10,35,Angul,Rourkela,available,2026-08-30 05:00:00,2026-08-30 22:00:00,24.11,good,0.27,TRK0041
VA00134,TRK0005,2026-06-26,Local,500,10,35,Balasore,Kharagpur,available,2026-08-30 10:00:00,2026-08-30 20:00:00,17.63,maintenance,0.197,TRK0005
VA00135,TRK0029,2025-06-06,Reefer,1000,2,8,Sambalpur,Gopalpur,available,2026-08-30 14:00:00,2026-08-30 23:59:00,29.0,good,0.862,TRK0029
VA00136,TRK0042,2025-11-22,Reefer,1000,4,12,Cuttack,Rourkela,assigned,2026-08-30 12:00:00,2026-08-30 22:00:00,36.03,maintenance,0.676,TRK0042
VA00137,TRK0010,2025-07-03,Reefer,1000,-2,8,Puri,Puri,available,2026-08-30 06:00:00,2026-08-30 23:59:00,30.88,good,0.404,TRK0010
VA00138,TRK0043,2025-09-07,Local,300,10,35,Berhampur,Kolkata,available,2026-08-30 10:00:00,2026-08-30 16:00:00,28.39,good,0.767,TRK0043
VA00139,TRK0029,2026-04-22,Reefer,1500,2,12,Sambalpur,Balasore,available,2026-08-30 12:00:00,2026-08-30 23:59:00,26.05,good,0.213,TRK0029
VA00140,TRK0035,2026-03-21,Local,750,10,35,Rourkela,Puri,available,2026-08-30 12:00:00,2026-08-30 23:59:00,20.26,good,0.764,TRK0035
VA00141,TRK0044,2026-03-14,Reefer,500,-2,8,Sambalpur,Bhubaneswar,maintenance,2026-08-30 07:00:00,2026-08-30 22:00:00,22.63,good,0.153,TRK0044
VA00142,TRK0032,2026-07-13,Reefer,1500,-2,8,Kharagpur,Cuttack,available,2026-08-30 06:00:00,2026-08-30 18:00:00,18.14,maintenance,0.549,TRK0032
VA00143,TRK0040,2025-04-19,Reefer,1500,2,12,Kolkata,Rourkela,assigned,2026-08-30 08:00:00,2026-08-30 23:59:00,27.02,good,0.887,TRK0040
VA00144,TRK0032,2026-04-27,Local,750,10,35,Angul,Sambalpur,assigned,2026-08-30 10:00:00,2026-08-30 23:59:00,16.19,good,0.94,TRK0032
VA00145,TRK0016,2026-07-26,Reefer,2000,4,12,Rourkela,Angul,assigned,2026-08-30 10:00:00,2026-08-30 23:59:00,37.05,inspection_due,0.227,TRK0016
VA00146,TRK0001,2026-08-15,Dry,2000,15,35,Kharagpur,Cuttack,available,2026-08-30 05:00:00,2026-08-30 23:59:00,24.7,good,0.351,TRK0001
VA00147,TRK0037,2025-03-19,Reefer,2000,-2,8,Cuttack,Kolkata,available,2026-08-30 08:00:00,2026-08-30 18:00:00,21.14,good,0.931,TRK0037
VA00148,TRK0002,2025-10-07,Reefer,750,4,12,Bhubaneswar,Puri,assigned,2026-08-30 14:00:00,2026-08-30 16:00:00,31.85,inspection_due,0.161,TRK0002
VA00149,TRK0039,2026-06-04,Dry,750,15,35,Jajpur,Kharagpur,available,2026-08-30 06:00:00,2026-08-30 22:00:00,28.38,good,0.729,TRK0039
VA00150,TRK0022,2025-09-29,Reefer,2000,-2,8,Rourkela,Jajpur,available,2026-08-30 05:00:00,2026-08-30 22:00:00,16.62,good,0.689,TRK0022
VA00151,TRK0021,2025-07-07,Dry,500,15,35,Berhampur,Gopalpur,available,2026-08-30 14:00:00,2026-08-30 20:00:00,12.78,good,0.703,TRK0021
VA00152,TRK0015,2025-01-16,Dry,750,15,35,Balasore,Cuttack,available,2026-08-30 08:00:00,2026-08-30 16:00:00,17.5,good,0.489,TRK0015
VA00153,TRK0018,2025-12-23,Reefer,1500,2,8,Bhubaneswar,Kolkata,available,2026-08-30 05:00:00,2026-08-30 22:00:00,25.75,inspection_due,0.398,TRK0018
VA00154,TRK0035,2026-01-16,Reefer,1000,4,12,Angul,Sambalpur,available,2026-08-30 08:00:00,2026-08-30 18:00:00,24.11,maintenance,0.58,TRK0035
VA00155,TRK0045,2025-12-29,Reefer,2000,-2,8,Jajpur,Cuttack,assigned,2026-08-30 05:00:00,2026-08-30 16:00:00,33.15,good,0.682,TRK0045
VA00156,TRK0038,2026-07-12,Reefer,1000,2,8,Gopalpur,Angul,available,2026-08-30 05:00:00,2026-08-30 16:00:00,34.64,good,0.876,TRK0038
VA00157,TRK0003,2025-06-05,Local,500,10,35,Rourkela,Balasore,unavailable,2026-08-30 10:00:00,2026-08-30 22:00:00,36.51,good,0.656,TRK0003
VA00158,TRK0040,2026-08-07,Dry,1500,15,35,Gopalpur,Puri,assigned,2026-08-30 12:00:00,2026-08-30 23:59:00,16.18,good,0.62,TRK0040
