shipment_id,product_type,weight_kg,origin,destination,transport_mode,distance_km,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,temperature_excursion_minutes,estimated_cost_inr,delayed,delay_minutes,spoiled,shipment_id_raw
HS000045,Leafy Vegetables,234,Berhampur,Ranchi,rail,451.2,8.2,2,8,10,31.8,0,0,0.525,0.878,11.7,476.55,0,65.9,0,HS000045
HS000046,Leafy Vegetables,577,Cuttack,Jamshedpur,road,262.5,5.47,2,8,6,15.4,0,1,0.907,0.803,18.3,528.23,1,37.3,0,HS000046
HS000047,Rice,238,Berhampur,Kolkata,road,518.2,10.8,15,30,22,30.9,0,1,0.138,0.861,0.0,1211.14,0,55.4,0,HS000047
HS000048,Packaged Food,301,Bhubaneswar,Hyderabad,rail,837.2,15.22,15,30,19,36.1,0,0,0.064,0.721,12.2,952.43,1,110.8,0,HS000048
HS000049,Spices,358,Berhampur,Jamshedpur,road,414.6,8.64,15,30,17,25.2,0,0,0.663,0.824,9.9,834.83,1,34.7,0,HS000049
HS000050,Banana,387,Sambalpur,Chennai,road,1011.9,21.08,12,15,7,30.2,0,1,0.915,0.967,9.4,2001.85,1,84.0,0,HS000050
HS000051,Rice,192,Gopalpur,Hyderabad,road,709.7,14.79,15,30,23,34.6,1,0,0.134,0.773,0.0,1656.91,1,126.7,0,HS000051
HS000052,Banana,553,Balasore,Jamshedpur,rail,163.9,2.98,12,15,23,8.1,1,0,0.243,0.891,0.0,553.12,0,0.0,0,HS000052
HS000053,Spices,293,Jamshedpur,Kolkata,rail,223.2,4.06,15,30,18,10.9,0,0,0.4,0.746,15.4,291.81,0,62.1,0,HS000053
HS000054,Dairy,498,Jamshedpur,Ranchi,rail,109.3,1.99,2,8,0,14.8,1,0,0.932,0.902,31.5,445.12,1,0.0,0,HS000054
HS000055,Leafy Vegetables,346,Balasore,Visakhapatnam,rail,574.9,10.45,2,8,2,23.3,0,0,0.853,0.83,6.9,746.68,1,69.1,0,HS000055
HS000056,Banana,512,Balasore,Ranchi,rail,264.8,4.81,12,15,15,9.7,0,0,0.972,0.805,0.9,294.04,0,63.5,0,HS000056
HS000057,Mango,268,Sambalpur,Hyderabad,road,733.3,15.28,8,12,0,30.3,0,1,0.774,0.846,29.5,1627.88,1,106.7,1,HS000057
HS000058,Tomato,209,Gopalpur,Bhubaneswar,road,149.6,3.12,8,13,1,12.5,1,0,0.348,0.925,0.0,663.28,0,11.0,0,HS000058
HS000059,Spices,462,Gopalpur,Jamshedpur,road,416.3,8.67,15,30,11,25.6,0,0,0.053,0.93,3.6,826.78,1,34.0,0,HS000059
HS000060,Rice,254,Puri,Visakhapatnam,road,362.8,7.56,15,30,2,30.5,0,1,0.615,0.808,17.6,821.23,0,33.7,0,HS000060
HS000061,Packaged Food,903,Cuttack,Jamshedpur,road,262.5,5.47,15,30,6,28.9,0,0,0.895,0.878,13.7,544.64,0,0.0,0,HS000061
HS000062,Mango,366,Cuttack,Visakhapatnam,road,416.7,8.68,8,12,17,20.5,0,0,0.447,0.801,5.6,921.13,0,14.9,0,HS000062
HS000063,Fish,143,Sambalpur,Jamshedpur,road,272.9,5.69,-2,4,10,14.3,0,0,0.392,0.833,0.0,556.11,0,8.1,0,HS000063
HS000064,Tomato,239,Ranchi,Visakhapatnam,road,665.7,13.87,8,13,16,34.5,0,0,0.793,0.884,7.2,1494.79,1,97.4,0,HS000064
HS000065,Fish,183,Gopalpur,Hyderabad,road,709.7,14.79,-2,4,17,29.8,0,0,0.399,0.784,8.8,1528.14,1,160.1,0,HS000065
HS000066,Leafy Vegetables,703,Bhubaneswar,Chennai,road,996.3,20.76,2,8,23,40.7,1,0,0.734,0.801,14.5,2388.76,1,101.8,0,HS000066
HS000067,Tomato,579,Rourkela,Ranchi,road,129.2,2.69,8,13,23,24.4,0,0,0.208,0.761,3.3,244.67,0,23.8,0,HS000067
HS000068,Fish,336,Ranchi,Kolkata,rail,324.3,5.9,-2,4,0,14.4,0,0,0.633,0.87,5.9,411.81,0,0.0,0,HS000068
HS000069,Banana,423,Balasore,Jamshedpur,rail,163.9,2.98,12,15,20,14.7,0,0,0.57,0.931,10.0,200.43,0,7.1,0,HS000069
HS000070,Dairy,331,Berhampur,Hyderabad,rail,699.4,12.72,2,8,0,21.7,2,0,0.439,0.95,27.8,1761.05,1,58.7,1,HS000070
HS000071,Frozen Food,612,Berhampur,Chennai,road,844.5,17.59,-20,-15,1,32.9,0,1,0.329,0.956,20.1,1985.86,1,66.1,0,HS000071
HS000072,Banana,491,Balasore,Bhubaneswar,road,176.0,3.67,12,15,22,20.4,0,0,0.616,0.915,13.1,348.69,0,9.4,0,HS000072
HS000073,Packaged Food,552,Ranchi,Chennai,rail,1258.6,22.88,15,30,15,41.8,1,0,0.948,0.838,6.9,2235.58,1,89.2,0,HS000073
HS000074,Dairy,309,Berhampur,Chennai,road,844.5,17.59,2,8,8,33.7,2,0,0.307,0.923,23.6,2387.75,1,69.3,0,HS000074
HS000075,Rice,232,Jamshedpur,Raipur,road,502.0,10.46,15,30,22,27.5,1,0,0.056,0.784,21.1,1591.79,0,86.4,0,HS000075
HS000076,Frozen Food,539,Jamshedpur,Hyderabad,road,1005.8,20.95,-20,-15,9,26.8,0,0,0.878,0.848,25.4,2101.68,1,124.3,0,HS000076
HS000077,Pharmaceuticals,959,Berhampur,Visakhapatnam,road,245.7,5.12,2,8,4,21.1,0,0,0.018,0.95,0.0,543.25,0,14.4,0,HS000077
HS000078,Pharmaceuticals,718,Cuttack,Hyderabad,road,849.7,17.7,2,8,12,28.0,2,1,0.064,0.865,17.8,2775.23,1,43.2,0,HS000078
HS000079,Spices,978,Berhampur,Hyderabad,road,699.4,14.57,15,30,4,23.3,0,0,0.143,0.873,9.3,1502.44,1,90.2,0,HS000079
HS000080,Fish,389,Rourkela,Visakhapatnam,road,536.5,11.18,-2,4,7,24.6,0,0,0.747,0.875,6.6,1058.66,1,75.5,0,HS000080
HS000081,Tomato,186,Bhubaneswar,Visakhapatnam,road,399.0,8.31,8,13,12,30.1,0,0,0.069,0.921,39.4,811.4,0,0.0,0,HS000081
HS000082,Mango,197,Visakhapatnam,Hyderabad,road,502.8,10.48,8,12,4,30.2,1,0,0.496,0.741,0.0,1773.18,0,31.2,0,HS000082
HS000083,Fish,858,Bhubaneswar,Jamshedpur,local,281.7,9.39,-2,4,8,26.9,1,0,0.138,0.813,7.2,1098.45,0,75.8,0,HS000083
HS000084,Mango,104,Sambalpur,Chennai,road,1011.9,21.08,8,12,13,42.9,0,0,0.556,0.954,0.0,2175.81,1,73.7,0,HS000084
HS000085,Tomato,931,Jamshedpur,Raipur,rail,502.0,9.13,8,13,0,29.7,0,0,0.486,0.961,13.7,544.8,0,24.4,0,HS000085
HS000086,Mango,210,Bhubaneswar,Raipur,road,448.9,9.35,8,12,20,27.2,0,0,0.311,0.86,0.0,952.91,1,15.6,0,HS000086
HS000087,Fish,1222,Cuttack,Hyderabad,rail,849.7,15.45,-2,4,6,35.9,2,1,0.572,0.795,30.7,1597.45,1,74.2,0,HS000087
HS000088,Banana,334,Jamshedpur,Visakhapatnam,rail,648.6,11.79,12,15,4,26.1,0,0,0.306,0.933,1.0,775.25,1,55.3,0,HS000088
HS000089,Fish,560,Bhubaneswar,Ranchi,road,343.1,7.15,-2,4,13,18.2,1,0,0.84,0.943,12.0,895.0,0,26.6,1,HS000089
HS000090,Rice,1649,Gopalpur,Ranchi,road,456.1,9.5,15,30,6,25.9,1,0,0.927,0.794,1.8,1426.2,1,25.9,0,HS000090
HS000091,Rice,282,Cuttack,Visakhapatnam,rail,416.7,7.58,15,30,6,26.1,0,0,0.519,0.904,10.5,569.19,1,0.0,0,HS000091
HS000092,Leafy Vegetables,279,Berhampur,Ranchi,rail,451.2,8.2,2,8,11,29.4,1,0,0.123,0.958,0.0,970.57,1,38.8,0,HS000092
HS000093,Fish,223,Gopalpur,Cuttack,road,167.9,3.5,-2,4,8,26.8,0,0,0.322,0.828,15.6,397.39,0,14.6,0,HS000093
HS000094,Fish,183,Balasore,Raipur,road,549.7,11.45,-2,4,2,24.8,0,0,0.821,0.74,2.1,1305.29,1,38.8,0,HS000094
HS000095,Dairy,282,Puri,Jamshedpur,rail,334.8,6.09,2,8,19,11.4,1,0,0.208,0.928,0.0,592.26,1,25.6,0,HS000095
HS000096,Frozen Food,244,Jamshedpur,Kolkata,road,223.2,4.65,-20,-15,3,28.5,0,1,0.127,0.888,11.7,513.78,0,38.8,0,HS000096
HS000097,Tomato,155,Bhubaneswar,Jamshedpur,road,281.7,5.87,8,13,11,27.1,1,0,0.963,0.91,0.0,763.64,0,59.8,0,HS000097
HS000098,Packaged Food,305,Gopalpur,Kolkata,local,513.9,17.13,15,30,1,34.0,0,0,0.551,0.885,15.8,1377.86,1,0.0,0,HS000098
HS000099,Mango,469,Bhubaneswar,Visakhapatnam,local,399.0,13.3,8,12,15,26.0,2,0,0.462,0.825,24.6,2405.94,0,39.6,0,HS000099
HS000100,Rice,196,Jamshedpur,Chennai,road,1249.5,26.03,15,30,19,46.1,1,1,0.923,0.961,73.4,3160.83,1,80.0,0,HS000100
HS000101,Fish,315,Rourkela,Cuttack,road,226.6,4.72,-2,4,15,19.8,0,0,0.536,0.876,15.9,474.86,0,2.6,0,HS000101
HS000102,Tomato,873,Sambalpur,Chennai,road,1011.9,21.08,8,13,9,29.0,0,0,0.495,0.851,9.3,2338.48,1,112.9,0,HS000102
HS000103,Flowers,139,Bhubaneswar,Raipur,road,448.9,9.35,2,8,16,17.4,0,0,0.3,0.859,10.0,887.86,0,43.7,0,HS000103
HS000104,Mango,1228,Balasore,Chennai,local,1172.1,39.07,8,12,15,56.4,0,1,0.676,0.911,14.0,3078.03,1,90.4,0,HS000104
HS000105,Rice,226,Berhampur,Bhubaneswar,road,153.4,3.2,15,30,0,21.0,2,1,0.714,0.872,46.0,1543.79,0,35.5,0,HS000105
HS000106,Fish,399,Puri,Kolkata,road,403.8,8.41,-2,4,5,23.4,0,1,0.135,0.738,42.6,930.67,1,77.8,0,HS000106
HS000107,Mango,804,Visakhapatnam,Chennai,rail,601.6,10.94,8,12,11,27.8,2,0,0.781,0.789,38.5,1993.63,1,40.4,0,HS000107
HS000108,Mango,980,Sambalpur,Cuttack,road,226.9,4.73,8,12,3,25.3,1,0,0.442,0.848,14.1,843.99,0,59.7,0,HS000108
HS000109,Flowers,475,Berhampur,Hyderabad,local,699.4,23.31,2,8,22,43.9,0,0,0.419,0.761,15.6,1749.97,1,70.6,0,HS000109
HS000110,Tomato,223,Gopalpur,Chennai,road,846.9,17.64,8,13,10,37.4,0,1,0.905,0.934,4.7,1710.54,1,83.7,0,HS000110
HS000111,Spices,210,Ranchi,Jamshedpur,road,109.3,2.28,15,30,15,19.5,1,0,0.156,0.914,0.0,519.0,0,59.0,0,HS000111
HS000112,Flowers,241,Bhubaneswar,Kolkata,local,364.9,12.16,2,8,0,19.2,1,0,0.49,0.909,12.2,1483.35,1,61.4,0,HS000112
HS000113,Pharmaceuticals,1195,Jamshedpur,Visakhapatnam,road,648.6,13.51,2,8,2,18.5,0,0,0.451,0.837,11.2,1474.46,1,86.7,0,HS000113
HS000114,Tomato,273,Puri,Ranchi,rail,396.3,7.2,8,13,13,22.7,0,0,0.602,0.792,6.8,481.15,0,45.4,0,HS000114
HS000115,Pharmaceuticals,432,Balasore,Kolkata,road,190.2,3.96,2,8,0,18.6,0,1,0.222,0.929,4.6,411.66,0,30.7,0,HS000115
HS000116,Packaged Food,178,Ranchi,Jamshedpur,rail,109.3,1.99,15,30,3,22.7,0,0,0.247,0.808,10.0,116.7,0,55.9,0,HS000116
HS000117,Mango,165,Sambalpur,Ranchi,road,249.4,5.2,8,12,20,11.7,0,0,0.051,0.86,7.7,573.16,0,38.9,0,HS000117
HS000118,Leafy Vegetables,356,Puri,Visakhapatnam,rail,362.8,6.6,2,8,17,14.3,2,0,0.81,0.793,52.0,1557.33,0,65.5,0,HS000118
HS000119,Tomato,283,Berhampur,Cuttack,local,171.0,5.7,8,13,23,12.7,3,0,0.095,0.966,26.5,971.22,0,4.9,0,HS000119
HS000120,Leafy Vegetables,297,Cuttack,Ranchi,road,325.8,6.79,2,8,18,30.0,0,0,0.613,0.897,34.9,658.28,0,31.8,0,HS000120
HS000121,Flowers,134,Gopalpur,Bhubaneswar,road,149.6,3.12,2,8,13,14.9,0,1,0.03,0.961,36.5,313.26,0,29.6,0,HS000121
HS000122,Dairy,334,Bhubaneswar,Cuttack,rail,19.5,0.35,2,8,10,11.4,0,0,0.591,0.96,0.0,25.77,0,1.4,0,HS000122
HS000123,Fish,958,Ranchi,Cuttack,local,325.8,10.86,-2,4,20,19.1,0,0,0.229,0.772,15.1,842.01,0,35.4,0,HS000123
HS000124,Leafy Vegetables,201,Berhampur,Ranchi,road,451.2,9.4,2,8,22,30.3,2,0,0.665,0.903,28.4,2342.96,0,83.2,0,HS000124
HS000125,Banana,627,Balasore,Hyderabad,local,996.1,33.2,12,15,8,54.4,1,0,0.767,0.836,9.9,3045.94,0,105.5,0,HS000125
HS000126,Tomato,50,Visakhapatnam,Bhubaneswar,rail,399.0,7.26,8,13,22,14.8,1,0,0.979,0.878,28.4,1137.31,0,34.6,0,HS000126
HS000127,Spices,208,Puri,Kolkata,rail,403.8,7.34,15,30,23,18.9,0,0,0.745,0.836,11.4,427.14,0,25.5,0,HS000127
HS000128,Fish,101,Balasore,Raipur,road,549.7,11.45,-2,4,10,27.8,1,1,0.947,0.734,14.1,1518.45,1,82.3,0,HS000128
HS000129,Leafy Vegetables,782,Berhampur,Cuttack,road,171.0,3.56,2,8,20,14.8,1,1,0.931,0.89,21.7,645.96,0,57.1,0,HS000129
HS000130,Rice,620,Jamshedpur,Hyderabad,rail,1005.8,18.29,15,30,15,30.1,0,0,0.281,0.842,11.7,1277.85,0,91.6,0,HS000130
HS000131,Mango,179,Visakhapatnam,Kolkata,rail,763.8,13.89,8,12,2,33.3,0,0,0.4,0.753,23.0,973.56,1,120.3,0,HS000131
HS000132,Tomato,422,Jamshedpur,Hyderabad,road,1005.8,20.95,8,13,22,40.1,0,0,0.412,0.884,13.9,1882.96,1,81.9,0,HS000132
HS000133,Tomato,764,Bhubaneswar,Chennai,road,996.3,20.76,8,13,2,43.1,0,1,0.346,0.76,40.6,2067.11,1,118.6,0,HS000133
HS000134,Packaged Food,846,Puri,Jamshedpur,rail,334.8,6.09,15,30,22,18.1,1,0,0.739,0.939,0.0,1031.09,0,17.7,0,HS000134
HS000135,Pharmaceuticals,269,Sambalpur,Hyderabad,road,733.3,15.28,2,8,0,38.9,0,0,0.383,0.725,29.5,1371.5,1,119.6,0,HS000135
HS000136,Fish,83,Jamshedpur,Cuttack,road,262.5,5.47,-2,4,8,15.2,0,0,0.921,0.825,5.6,579.38,0,92.8,0,HS000136
HS000137,Mango,195,Gopalpur,Cuttack,road,167.9,3.5,8,12,4,18.3,0,0,0.559,0.806,6.3,340.29,0,92.5,0,HS000137
HS000138,Banana,576,Visakhapatnam,Kolkata,road,763.8,15.91,12,15,11,38.7,1,0,0.306,0.941,13.1,2016.86,1,123.5,0,HS000138
HS000139,Frozen Food,1370,Cuttack,Ranchi,road,325.8,6.79,-20,-15,20,27.7,0,0,0.844,0.906,9.3,613.76,0,83.0,0,HS000139
HS000140,Leafy Vegetables,338,Jamshedpur,Chennai,road,1249.5,26.03,2,8,15,42.7,2,0,0.684,0.786,15.2,3360.03,1,68.8,0,HS000140
HS000141,Packaged Food,236,Balasore,Bhubaneswar,road,176.0,3.67,15,30,12,14.5,0,0,0.317,0.805,13.0,378.15,0,10.9,0,HS000141
HS000142,Flowers,1665,Sambalpur,Jamshedpur,rail,272.9,4.96,2,8,16,19.3,1,0,0.895,0.879,1.5,994.66,0,40.6,0,HS000142
HS000143,Dairy,456,Rourkela,Visakhapatnam,road,536.5,11.18,2,8,13,27.2,0,0,0.447,0.962,4.5,1067.76,0,61.5,0,HS000143
HS000144,Flowers,158,Gopalpur,Ranchi,road,456.1,9.5,2,8,15,29.3,1,1,0.106,0.822,5.7,1565.11,0,61.1,0,HS000144
HS000145,Packaged Food,324,Jamshedpur,Raipur,rail,502.0,9.13,15,30,6,24.7,0,1,0.815,0.929,13.0,670.35,1,66.5,0,HS000145
HS000146,Dairy,670,Ranchi,Jamshedpur,road,109.3,2.28,2,8,7,25.0,1,0,0.705,0.899,0.3,511.05,0,57.1,0,HS000146
HS000147,Frozen Food,334,Jamshedpur,Hyderabad,local,1005.8,33.53,-20,-15,22,45.2,0,0,0.038,0.897,19.4,2510.88,1,88.5,0,HS000147
HS000148,Spices,587,Berhampur,Chennai,road,844.5,17.59,15,30,12,32.1,0,1,0.137,0.78,18.9,1587.0,1,78.8,0,HS000148
HS000149,Tomato,123,Gopalpur,Hyderabad,local,709.7,23.66,8,13,23,27.9,1,0,0.893,0.727,40.6,2412.34,1,105.8,0,HS000149
HS000150,Spices,138,Jamshedpur,Visakhapatnam,rail,648.6,11.79,15,30,3,20.2,0,0,0.041,0.837,0.2,800.18,1,83.6,0,HS000150
HS000151,Mango,217,Ranchi,Raipur,local,444.4,14.81,8,12,18,27.9,0,0,0.55,0.872,5.9,1184.83,0,27.1,0,HS000151
HS000152,Frozen Food,291,Puri,Kolkata,rail,403.8,7.34,-20,-15,9,25.1,2,0,0.059,0.839,14.9,1442.97,1,27.2,0,HS000152
HS000153,Rice,435,Jamshedpur,Bhubaneswar,road,281.7,5.87,15,30,21,13.3,0,0,0.832,0.816,8.5,555.59,0,52.8,0,HS000153
HS000154,Fish,529,Rourkela,Hyderabad,rail,858.5,15.61,-2,4,19,21.6,3,0,0.158,0.792,47.6,2128.36,1,75.9,0,HS000154
HS000155,Dairy,1739,Cuttack,Jamshedpur,road,262.5,5.47,2,8,14,16.6,0,0,0.6,0.935,0.0,516.08,0,0.0,0,HS000155
HS000156,Fish,217,Ranchi,Bhubaneswar,road,343.1,7.15,-2,4,17,25.1,0,1,0.986,0.762,18.1,702.34,1,27.5,0,HS000156
HS000157,Banana,285,Gopalpur,Ranchi,road,456.1,9.5,12,15,18,26.8,0,1,0.665,0.721,28.9,1031.71,0,42.1,0,HS000157
HS000158,Tomato,221,Rourkela,Visakhapatnam,rail,536.5,9.75,8,13,22,21.7,0,0,0.402,0.747,45.8,586.26,1,35.9,0,HS000158
HS000159,Tomato,706,Puri,Chennai,rail,954.6,17.36,8,13,2,32.4,1,1,0.366,0.831,7.1,1717.31,0,103.1,0,HS000159
HS000160,Fish,731,Berhampur,Chennai,rail,844.5,15.36,-2,4,2,31.5,0,0,0.951,0.86,0.0,1136.64,1,84.6,0,HS000160
HS000161,Dairy,262,Gopalpur,Kolkata,road,513.9,10.71,2,8,23,31.4,0,0,0.588,0.894,9.7,1020.56,0,64.6,0,HS000161
HS000162,Tomato,1340,Sambalpur,Raipur,local,244.7,8.16,8,13,11,23.1,0,0,0.996,0.86,4.1,701.64,0,38.5,0,HS000162
HS000163,Spices,221,Puri,Raipur,rail,465.8,8.47,15,30,13,18.9,1,1,0.061,0.879,24.7,767.47,1,57.5,1,HS000163
HS000164,Leafy Vegetables,684,Visakhapatnam,Bhubaneswar,road,399.0,8.31,2,8,13,19.0,0,0,0.811,0.749,0.0,822.93,1,48.3,0,HS000164
HS000165,Dairy,901,Jamshedpur,Kolkata,road,223.2,4.65,2,8,15,16.7,0,1,0.186,0.83,25.3,472.23,0,65.7,0,HS000165
HS000166,Leafy Vegetables,144,Sambalpur,Ranchi,road,249.4,5.2,2,8,16,26.8,0,0,0.341,0.897,1.5,472.38,0,7.2,0,HS000166
HS000167,Banana,509,Jamshedpur,Ranchi,road,109.3,2.28,12,15,18,18.1,0,0,0.649,0.801,9.2,259.17,1,50.1,0,HS000167
HS000168,Flowers,60,Ranchi,Jamshedpur,road,109.3,2.28,2,8,18,12.1,0,0,0.807,0.784,6.1,227.14,0,49.2,0,HS000168
HS000169,Dairy,598,Sambalpur,Cuttack,road,226.9,4.73,2,8,21,26.8,1,0,0.569,0.789,1.2,1097.84,1,67.7,0,HS000169
HS000170,Mango,171,Ranchi,Hyderabad,road,971.7,20.24,8,12,10,34.4,1,0,0.105,0.815,5.3,2396.57,1,42.1,0,HS000170
