route_id,origin,destination,mode,distance_km,avg_transit_hr,reliability,base_cost_inr,typical_transfer_count,weather_sensitivity,temperature_stability_score,route_id_raw
R0090,Kharagpur,Kolkata,road,119.0,2.98,0.885,218.26,0,1.3,0.93,R0090
R0091,Kharagpur,Kolkata,rail,119.0,2.67,0.867,154.26,2,0.55,0.75,R0091
R0092,Kharagpur,Kolkata,local,119.0,4.52,0.83,278.05,2,0.53,0.91,R0092
R0093,Cuttack,Ranchi,road,325.8,7.6,0.885,742.24,0,1.18,0.9,R0093
R0094,Visakhapatnam,Cuttack,road,416.7,9.84,0.896,786.31,2,1.25,0.9,R0094
R0095,Kharagpur,Balasore,road,99.7,2.24,0.935,210.55,1,0.95,0.84,R0095
R0096,Kharagpur,Balasore,rail,99.7,2.48,0.876,127.9,0,0.58,0.89,R0096
R0097,Kharagpur,Balasore,local,99.7,3.4,0.917,251.27,1,0.8,0.92,R0097
R0098,Jamshedpur,Raipur,road,502.0,10.08,0.847,1097.04,1,1.08,0.82,R0098
R0099,Jamshedpur,Raipur,rail,502.0,9.48,0.811,587.96,0,0.52,0.73,R0099
R0100,Gopalpur,Berhampur,road,14.1,1.0,0.863,25.14,0,0.83,0.88,R0100
R0101,Gopalpur,Berhampur,local,14.1,1.0,0.93,31.52,0,0.36,0.87,R0101
R0102,Rourkela,Kharagpur,road,244.9,6.34,0.856,458.33,3,1.0,0.87,R0102
R0103,Rourkela,Kharagpur,rail,244.9,5.93,0.892,313.4,1,0.3,0.83,R0103
R0104,Kolkata,Gopalpur,road,513.9,11.32,0.8,1024.18,2,1.22,0.85,R0104
R0105,Kolkata,Gopalpur,rail,513.9,10.69,0.727,596.65,3,0.64,0.77,R0105
R0106,Raipur,Kolkata,road,710.0,16.34,0.905,1268.24,1,1.16,0.83,R0106
R0107,Raipur,Kolkata,rail,710.0,15.97,0.822,921.09,1,0.3,0.76,R0107
R0108,Sambalpur,Balasore,road,305.3,7.92,0.827,639.57,1,1.08,0.91,R0108
R0109,Sambalpur,Balasore,rail,305.3,5.66,0.864,389.86,0,0.61,0.76,R0109
R0110,Berhampur,Sambalpur,road,253.8,5.28,0.86,481.6,0,1.03,0.91,R0110
R0111,Gopalpur,Rourkela,road,333.8,6.49,0.951,734.16,3,0.96,0.94,R0111
R0112,Gopalpur,Rourkela,rail,333.8,6.57,0.916,380.77,2,0.34,0.73,R0112
R0113,Hyderabad,Puri,road,819.6,18.73,0.874,1515.82,1,1.16,0.93,R0113
R0114,Visakhapatnam,Kolkata,road,763.8,15.53,0.931,1711.48,0,0.86,0.83,R0114
R0115,Visakhapatnam,Kolkata,rail,763.8,14.01,0.848,893.33,2,0.8,0.72,R0115
R0116,Raipur,Kharagpur,road,591.0,15.18,0.951,1226.82,1,1.25,0.96,R0116
R0117,Raipur,Kharagpur,rail,591.0,11.46,0.781,648.26,0,0.33,0.85,R0117
R0118,Kharagpur,Visakhapatnam,road,666.4,15.53,0.888,1473.8,0,1.1,0.84,R0118
R0119,Kharagpur,Visakhapatnam,rail,666.4,11.7,0.832,800.78,0,0.58,0.81,R0119
R0120,Cuttack,Kolkata,road,347.7,7.33,0.958,718.42,1,1.29,0.88,R0120
R0121,Hyderabad,Cuttack,road,849.7,18.42,0.861,1860.82,3,1.06,0.87,R0121
R0122,Kharagpur,Cuttack,road,251.7,6.43,0.914,496.73,0,0.87,0.97,R0122
R0123,Berhampur,Kharagpur,road,421.6,10.31,0.965,937.61,2,1.26,0.84,R0123
R0124,Bhubaneswar,Rourkela,road,240.5,5.46,0.816,537.29,2,1.06,0.93,R0124
R0125,Bhubaneswar,Rourkela,rail,240.5,4.71,0.878,285.91,1,0.35,0.92,R0125
R0126,Ranchi,Bhubaneswar,road,343.1,6.87,0.86,622.29,0,1.17,0.8,R0126
R0127,Ranchi,Bhubaneswar,rail,343.1,6.1,0.862,423.8,0,0.74,0.81,R0127
R0128,Ranchi,Puri,road,396.3,9.27,0.98,821.76,1,1.1,0.97,R0128
R0129,Cuttack,Visakhapatnam,road,416.7,9.29,0.941,818.28,1,1.0,0.82,R0129
R0130,Visakhapatnam,Sambalpur,road,427.9,10.51,0.919,831.45,0,0.92,0.82,R0130
R0131,Visakhapatnam,Sambalpur,rail,427.9,7.94,0.864,469.93,3,0.4,0.76,R0131
R0132,Berhampur,Cuttack,road,171.0,3.9,0.874,324.93,0,1.04,0.97,R0132
R0133,Berhampur,Cuttack,local,171.0,5.86,0.795,389.0,0,0.43,0.85,R0133
R0134,Balasore,Jamshedpur,road,163.9,3.5,0.899,368.28,0,1.29,0.97,R0134
R0135,Balasore,Jamshedpur,rail,163.9,4.04,0.873,181.37,3,0.58,0.74,R0135
R0136,Balasore,Jamshedpur,local,163.9,5.34,0.843,420.6,2,0.43,0.83,R0136
R0137,Sambalpur,Visakhapatnam,road,427.9,8.54,0.87,922.86,0,0.95,0.87,R0137
R0138,Sambalpur,Visakhapatnam,rail,427.9,8.76,0.865,535.59,0,0.77,0.75,R0138
R0139,Sambalpur,Gopalpur,road,264.1,5.3,0.843,502.58,0,1.22,0.83,R0139
R0140,Sambalpur,Gopalpur,rail,264.1,5.59,0.885,287.4,3,0.73,0.91,R0140
R0141,Jamshedpur,Puri,road,334.8,7.82,0.924,634.19,2,0.92,0.83,R0141
R0142,Bhubaneswar,Sambalpur,road,231.6,4.63,0.905,504.75,1,1.05,0.9,R0142
R0143,Bhubaneswar,Sambalpur,rail,231.6,4.79,0.85,243.81,2,0.36,0.93,R0143
R0144,Sambalpur,Hyderabad,road,733.3,16.09,0.944,1355.44,1,0.9,0.85,R0144
R0145,Sambalpur,Hyderabad,rail,733.3,16.58,0.869,950.9,2,0.46,0.85,R0145
R0146,Gopalpur,Puri,road,114.2,2.73,0.913,233.74,2,1.29,0.95,R0146
R0147,Gopalpur,Puri,local,114.2,3.9,0.802,262.96,0,0.76,0.86,R0147
R0148,Ranchi,Rourkela,road,129.2,3.47,0.962,282.93,2,1.18,0.94,R0148
R0149,Ranchi,Rourkela,rail,129.2,3.16,0.866,148.38,2,0.62,0.72,R0149
R0150,Ranchi,Rourkela,local,129.2,4.1,0.868,289.76,1,0.36,0.83,R0150
R0151,Raipur,Rourkela,road,351.3,7.5,0.91,793.26,1,0.96,0.93,R0151
R0152,Raipur,Rourkela,rail,351.3,7.17,0.841,420.98,0,0.78,0.8,R0152
R0153,Sambalpur,Rourkela,road,126.1,3.26,0.933,279.45,1,0.82,0.88,R0153
R0154,Sambalpur,Rourkela,rail,126.1,2.61,0.846,153.4,0,0.77,0.8,R0154
R0155,Sambalpur,Rourkela,local,126.1,4.28,0.875,325.13,1,0.66,0.89,R0155
R0156,Bhubaneswar,Balasore,road,176.0,3.61,0.937,371.26,1,1.0,0.88,R0156
R0157,Bhubaneswar,Balasore,rail,176.0,4.23,0.875,214.59,1,0.63,0.87,R0157
R0158,Bhubaneswar,Balasore,local,176.0,7.35,0.824,410.7,0,0.73,0.84,R0158
R0159,Kolkata,Visakhapatnam,road,763.8,15.85,0.872,1457.86,3,0.87,0.85,R0159
R0160,Kolkata,Visakhapatnam,rail,763.8,14.08,0.844,821.04,3,0.65,0.93,R0160
R0161,Gopalpur,Visakhapatnam,road,250.1,5.44,0.902,524.6,2,0.96,0.98,R0161
R0162,Gopalpur,Visakhapatnam,rail,250.1,5.34,0.837,254.88,2,0.74,0.85,R0162
R0163,Kolkata,Balasore,road,190.2,4.41,0.936,422.43,1,0.96,0.9,R0163
R0164,Kolkata,Balasore,rail,190.2,4.08,0.865,212.2,3,0.76,0.92,R0164
R0165,Kolkata,Balasore,local,190.2,6.16,0.9,514.04,0,0.68,0.94,R0165
R0166,Rourkela,Sambalpur,road,126.1,2.97,0.838,238.21,2,0.94,0.85,R0166
R0167,Rourkela,Sambalpur,rail,126.1,2.8,0.853,136.13,2,0.71,0.91,R0167
R0168,Rourkela,Sambalpur,local,126.1,5.08,0.877,305.92,1,0.72,0.82,R0168
R0169,Balasore,Berhampur,road,329.1,6.77,0.85,648.63,3,1.3,0.83,R0169
R0170,Rourkela,Hyderabad,road,858.5,20.9,0.929,1798.26,3,1.29,0.81,R0170
R0171,Rourkela,Hyderabad,rail,858.5,18.62,0.849,940.96,3,0.74,0.87,R0171
R0172,Rourkela,Ranchi,road,129.2,3.4,0.831,239.79,0,1.08,0.89,R0172
R0173,Rourkela,Ranchi,rail,129.2,2.79,0.868,170.61,1,0.8,0.83,R0173
R0174,Rourkela,Ranchi,local,129.2,5.33,0.902,369.56,1,0.53,0.88,R0174
R0175,Kolkata,Raipur,road,710.0,17.96,0.893,1385.09,1,1.19,0.95,R0175
R0176,Kolkata,Raipur,rail,710.0,12.61,0.889,789.42,0,0.7,0.83,R0176
R0177,Kolkata,Rourkela,road,362.5,7.19,0.905,810.06,2,0.85,0.83,R0177
R0178,Kolkata,Rourkela,rail,362.5,7.22,0.816,372.78,0,0.52,0.89,R0178
R0179,Ranchi,Kharagpur,road,226.1,5.92,0.888,498.44,0,0.88,0.83,R0179
R0180,Ranchi,Kharagpur,rail,226.1,4.31,0.82,266.65,1,0.35,0.81,R0180
R0181,Cuttack,Hyderabad,road,849.7,17.25,0.873,1840.77,3,1.05,0.94,R0181
R0182,Visakhapatnam,Kharagpur,road,666.4,14.72,0.766,1251.75,2,1.18,0.82,R0182
R0183,Visakhapatnam,Kharagpur,rail,666.4,14.83,0.813,710.68,0,0.71,0.81,R0183
R0184,Gopalpur,Bhubaneswar,road,149.6,3.04,0.912,316.06,0,1.0,0.96,R0184
R0185,Gopalpur,Bhubaneswar,rail,149.6,2.94,0.75,160.31,1,0.41,0.86,R0185
R0186,Gopalpur,Bhubaneswar,local,149.6,5.75,0.812,386.28,2,0.71,0.93,R0186
R0187,Visakhapatnam,Jamshedpur,road,648.6,16.57,0.854,1352.24,2,1.04,0.85,R0187
R0188,Visakhapatnam,Jamshedpur,rail,648.6,12.97,0.826,822.86,1,0.49,0.78,R0188
R0189,Visakhapatnam,Puri,road,362.8,7.99,0.841,748.94,2,1.14,0.81,R0189
R0190,Bhubaneswar,Puri,road,53.7,1.61,0.838,120.38,3,0.89,0.96,R0190
R0191,Bhubaneswar,Puri,local,53.7,2.11,0.925,151.96,2,0.33,0.84,R0191
R0192,Berhampur,Balasore,road,329.1,7.14,0.845,700.08,0,0.85,0.84,R0192
R0193,Gopalpur,Raipur,road,408.1,9.23,0.919,747.86,0,1.23,0.86,R0193
R0194,Gopalpur,Raipur,rail,408.1,8.49,0.82,458.23,1,0.61,0.77,R0194
R0195,Jamshedpur,Sambalpur,road,272.9,5.48,0.868,495.05,1,0.85,0.82,R0195
R0196,Jamshedpur,Sambalpur,rail,272.9,5.43,0.806,348.43,3,0.71,0.84,R0196
R0197,Visakhapatnam,Bhubaneswar,road,399.0,7.68,0.859,788.79,3,0.96,0.97,R0197
R0198,Visakhapatnam,Bhubaneswar,rail,399.0,7.81,0.885,424.94,3,0.55,0.83,R0198
R0199,Jamshedpur,Gopalpur,road,416.3,8.06,0.904,822.14,3,1.09,0.82,R0199
R0200,Jamshedpur,Gopalpur,rail,416.3,8.76,0.888,434.69,3,0.59,0.8,R0200
R0201,Puri,Kolkata,road,403.8,9.17,0.947,848.74,3,1.26,0.97,R0201
R0202,Puri,Hyderabad,road,819.6,18.47,0.8,1642.22,3,1.03,0.92,R0202
R0203,Rourkela,Gopalpur,road,333.8,7.3,0.872,649.89,2,0.99,0.82,R0203
R0204,Rourkela,Gopalpur,rail,333.8,7.48,0.905,378.18,3,0.58,0.89,R0204
R0205,Gopalpur,Ranchi,road,456.1,10.84,0.862,1031.23,0,1.1,0.92,R0205
R0206,Gopalpur,Ranchi,rail,456.1,10.42,0.925,517.19,0,0.59,0.72,R0206
R0207,Puri,Ranchi,road,396.3,10.18,0.973,817.84,3,0.81,0.93,R0207
R0208,Visakhapatnam,Ranchi,road,665.7,13.14,0.779,1338.96,1,1.19,0.86,R0208
R0209,Visakhapatnam,Ranchi,rail,665.7,11.67,0.92,790.43,0,0.44,0.76,R0209
R0210,Kharagpur,Puri,road,316.9,6.52,0.804,649.52,0,1.28,0.95,R0210
R0211,Berhampur,Bhubaneswar,road,153.4,3.9,0.857,342.65,3,0.99,0.82,R0211
R0212,Berhampur,Bhubaneswar,local,153.4,5.06,0.914,395.83,2,0.6,0.88,R0212
R0213,Hyderabad,Visakhapatnam,road,502.8,11.5,0.854,917.09,3,1.2,0.95,R0213
R0214,Hyderabad,Visakhapatnam,rail,502.8,10.6,0.855,645.34,0,0.56,0.82,R0214
R0215,Balasore,Visakhapatnam,road,574.9,11.91,0.836,1219.22,0,0.99,0.91,R0215
R0216,Balasore,Visakhapatnam,rail,574.9,13.06,0.874,674.98,3,0.37,0.76,R0216
R0217,Kolkata,Ranchi,road,324.3,7.57,0.852,736.59,0,1.0,0.95,R0217
R0218,Kolkata,Ranchi,rail,324.3,5.8,0.881,393.77,3,0.62,0.81,R0218
R0219,Jamshedpur,Visakhapatnam,road,648.6,14.48,0.89,1328.79,3,1.3,0.97,R0219
R0220,Jamshedpur,Visakhapatnam,rail,648.6,14.67,0.797,717.16,2,0.32,0.93,R0220
R0221,Bhubaneswar,Raipur,road,448.9,8.98,0.916,992.31,3,0.88,0.9,R0221
R0222,Bhubaneswar,Raipur,rail,448.9,7.95,0.842,509.61,3,0.33,0.93,R0222
R0223,Cuttack,Bhubaneswar,road,19.5,1.0,0.883,37.3,1,1.28,0.82,R0223
R0224,Cuttack,Bhubaneswar,local,19.5,1.0,0.923,53.77,0,0.72,0.97,R0224
R0225,Ranchi,Sambalpur,road,249.4,6.31,0.916,512.5,3,1.07,0.96,R0225
R0226,Ranchi,Sambalpur,rail,249.4,4.58,0.915,289.83,1,0.49,0.8,R0226
R0227,Ranchi,Berhampur,road,451.2,10.28,0.956,812.95,1,1.19,0.88,R0227
R0228,Bhubaneswar,Cuttack,road,19.5,1.0,0.966,34.66,1,0.9,0.98,R0228
R0229,Bhubaneswar,Cuttack,local,19.5,1.0,0.872,55.17,0,0.79,0.84,R0229
R0230,Hyderabad,Sambalpur,road,733.3,18.55,0.861,1315.74,0,1.08,0.96,R0230
R0231,Hyderabad,Sambalpur,rail,733.3,14.09,0.83,788.1,0,0.7,0.86,R0231
R0232,Visakhapatnam,Hyderabad,road,502.8,9.96,0.927,979.4,0,0.91,0.88,R0232
R0233,Visakhapatnam,Hyderabad,rail,502.8,8.78,0.831,629.18,0,0.57,0.76,R0233
R0234,Kharagpur,Rourkela,road,244.9,5.82,0.908,519.93,0,0.91,0.93,R0234
R0235,Kharagpur,Rourkela,rail,244.9,5.61,0.848,262.09,1,0.35,0.83,R0235
R0236,Rourkela,Jamshedpur,road,151.2,3.48,0.896,301.8,1,1.04,0.89,R0236
R0237,Rourkela,Jamshedpur,rail,151.2,3.4,0.876,180.87,3,0.41,0.86,R0237
R0238,Rourkela,Jamshedpur,local,151.2,6.28,0.98,380.55,1,0.54,0.81,R0238
R0239,Berhampur,Visakhapatnam,road,245.7,5.05,0.895,536.2,3,1.01,0.91,R0239
R0240,Sambalpur,Raipur,road,244.7,4.98,0.904,476.61,1,1.14,0.97,R0240
R0241,Sambalpur,Raipur,rail,244.7,5.28,0.881,309.34,2,0.55,0.88,R0241
R0242,Bhubaneswar,Hyderabad,road,837.2,18.46,0.806,1810.28,1,0.9,0.91,R0242
R0243,Bhubaneswar,Hyderabad,rail,837.2,15.08,0.821,918.06,0,0.36,0.93,R0243
R0244,Sambalpur,Jamshedpur,road,272.9,6.81,0.977,523.27,1,1.24,0.94,R0244
R0245,Sambalpur,Jamshedpur,rail,272.9,5.31,0.824,306.51,2,0.54,0.75,R0245
R0246,Ranchi,Balasore,road,264.8,6.37,0.872,484.21,2,1.15,0.81,R0246
R0247,Ranchi,Balasore,rail,264.8,5.49,0.875,329.46,2,0.71,0.82,R0247
R0248,Bhubaneswar,Kharagpur,road,270.6,5.54,0.872,528.92,0,1.03,0.87,R0248
R0249,Bhubaneswar,Kharagpur,rail,270.6,6.01,0.858,300.18,0,0.44,0.75,R0249
R0250,Kharagpur,Berhampur,road,421.6,9.48,0.94,826.12,3,1.18,0.97,R0250
R0251,Ranchi,Jamshedpur,road,109.3,2.6,0.886,243.58,0,1.3,0.91,R0251
R0252,Ranchi,Jamshedpur,rail,109.3,2.33,0.852,137.49,1,0.34,0.72,R0252
R0253,Ranchi,Jamshedpur,local,109.3,4.03,0.908,270.55,1,0.58,0.9,R0253
R0254,Ranchi,Raipur,road,444.4,8.89,0.98,836.1,0,1.22,0.98,R0254
R0255,Ranchi,Raipur,rail,444.4,7.97,0.848,493.06,3,0.5,0.78,R0255
R0256,Hyderabad,Berhampur,road,699.4,14.79,0.859,1361.02,3,0.95,0.83,R0256
R0257,Raipur,Ranchi,road,444.4,10.79,0.867,1009.86,2,1.0,0.95,R0257
R0258,Raipur,Ranchi,rail,444.4,8.39,0.827,473.9,0,0.43,0.92,R0258
R0259,Visakhapatnam,Rourkela,road,536.5,13.22,0.833,1180.16,3,0.92,0.85,R0259
R0260,Visakhapatnam,Rourkela,rail,536.5,9.29,0.837,614.54,3,0.43,0.89,R0260
R0261,Ranchi,Visakhapatnam,road,665.7,13.44,0.869,1471.73,1,0.91,0.8,R0261
R0262,Ranchi,Visakhapatnam,rail,665.7,12.71,0.73,681.62,0,0.56,0.9,R0262
R0263,Balasore,Rourkela,road,230.7,5.93,0.895,499.18,0,0.99,0.83,R0263
R0264,Balasore,Rourkela,rail,230.7,5.27,0.84,267.85,2,0.62,0.87,R0264
R0265,Puri,Berhampur,road,122.0,2.53,0.92,241.26,3,1.26,0.84,R0265
R0266,Puri,Berhampur,local,122.0,4.16,0.878,276.42,1,0.4,0.83,R0266
R0267,Jamshedpur,Ranchi,road,109.3,2.62,0.923,239.38,1,1.25,0.94,R0267
R0268,Jamshedpur,Ranchi,rail,109.3,2.71,0.849,119.27,1,0.77,0.81,R0268
R0269,Jamshedpur,Ranchi,local,109.3,4.36,0.8,269.95,0,0.32,0.83,R0269
R0270,Jamshedpur,Cuttack,road,262.5,5.66,0.934,491.94,1,1.23,0.95,R0270
R0271,Jamshedpur,Balasore,road,163.9,4.09,0.917,365.25,3,0.95,0.91,R0271
R0272,Jamshedpur,Balasore,rail,163.9,3.34,0.859,205.61,0,0.66,0.82,R0272
R0273,Jamshedpur,Balasore,local,163.9,5.29,0.871,442.99,3,0.71,0.93,R0273
R0274,Kharagpur,Bhubaneswar,road,270.6,6.47,0.929,511.03,1,1.05,0.9,R0274
R0275,Kharagpur,Bhubaneswar,rail,270.6,5.74,0.829,350.53,2,0.42,0.88,R0275
R0276,Rourkela,Cuttack,road,226.6,4.86,0.889,421.81,1,1.28,0.93,R0276
R0277,Puri,Gopalpur,road,114.2,2.42,0.98,222.65,3,1.12,0.89,R0277
R0278,Puri,Gopalpur,local,114.2,3.66,0.849,282.96,2,0.44,0.94,R0278
R0279,Kolkata,Jamshedpur,road,223.2,5.22,0.828,499.3,3,0.95,0.94,R0279
