shipment_id,product_type,weight_kg,transport_mode,base_transit_hr,required_min_temp_c,required_max_temp_c,pickup_hour,delivery_deadline_hr,transfer_count,rain_flag,congestion_index,historical_route_reliability,assigned_vehicle_id,assigned_route_id,assigned_vehicle_type,vehicle_capacity_kg,vehicle_temp_min_c,vehicle_temp_max_c,vehicle_reliability_feature,vehicle_temperature_control_score,route_avg_transit_hr,route_reliability_feature,route_temperature_stability,route_weather_sensitivity,route_base_cost_inr,route_typical_transfer_count,historical_handling_time_hours,historical_congestion_level,historical_weather_condition,historical_peak_period,delayed
HS000011,Banana,823,road,4.82,12,15,8,16.5,0,0,0.323,0.809,TRK048,R0041,,,,,,,5.49,0.788,0.92,0.45,286.68,0.0,1.08,medium,clear,1.0,0
HS000012,Dairy,176,local,14.26,2,8,20,19.6,0,0,0.549,0.871,TRK002,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,1.375,low,rain,1.0,1
HS000013,Pharmaceuticals,454,road,17.08,2,8,2,22.8,0,0,0.321,0.809,TRK001,R0024,,,,,,,4.01,0.966,0.85,1.12,353.75,3.0,1.29,medium,rain,1.0,1
HS000014,Dairy,196,rail,7.26,2,8,14,12.1,3,0,0.907,0.893,TRK004,R0015,,,,,,,4.25,0.851,0.81,0.85,376.38,3.0,1.58,medium,cloudy,1.0,0
HS000015,Banana,411,road,8.21,12,15,23,20.4,0,0,0.083,0.852,TRK027,R0090,,,,,,,2.98,0.885,0.93,1.3,218.26,0.0,1.79,low,cloudy,1.0,0
HS000016,Tomato,914,road,3.5,8,13,10,18.1,0,0,0.203,0.846,TRK015,R0024,,,,,,,4.01,0.966,0.85,1.12,353.75,3.0,2.12,low,clear,0.0,1
HS000017,Spices,138,rail,12.1,15,30,2,32.7,2,1,0.252,0.733,TRK022,R0008,,,,,,,12.15,0.81,0.87,1.26,1082.05,1.0,1.935,low,rain,1.0,1
HS000018,Mango,144,road,5.1,8,12,23,24.5,1,0,0.788,0.885,TRK013,R0003,,,,,,,10.53,0.929,0.77,0.77,511.96,3.0,2.15,low,clear,1.0,0
HS000019,Pharmaceuticals,651,rail,4.21,2,8,2,16.1,0,0,0.452,0.847,TRK016,R0058,,,,,,,6.97,0.928,0.91,1.02,715.81,1.0,1.8,medium,clear,1.0,0
HS000020,Packaged Food,347,road,7.24,15,30,21,30.1,0,0,0.555,0.8,TRK010,R0041,,,,,,,5.49,0.788,0.92,0.45,286.68,0.0,1.94,medium,clear,0.0,0
HS000021,Mango,749,rail,9.99,8,12,4,18.7,1,0,0.295,0.84,TRK013,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,2.2199999999999998,low,clear,1.0,1
HS000022,Banana,207,road,8.5,12,15,6,15.0,1,0,0.269,0.803,TRK015,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.98,low,clear,1.0,0
HS000023,Pharmaceuticals,362,road,7.6,2,8,4,30.6,1,1,0.649,0.788,TRK020,R0014,,,,,,,5.53,0.841,0.84,0.53,394.91,3.0,1.53,low,clear,1.0,0
HS000024,Mango,547,rail,2.35,8,12,21,13.6,1,0,0.686,0.75,TRK019,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,1.895,medium,clear,1.0,0
HS000025,Fish,401,rail,17.36,-2,4,9,25.4,0,0,0.518,0.775,TRK001,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.72,medium,clear,1.0,1
HS000026,Pharmaceuticals,109,rail,4.55,2,8,6,12.2,1,0,0.704,0.752,TRK003,R0015,,,,,,,4.25,0.851,0.81,0.85,376.38,3.0,2.0,low,clear,1.0,0
HS000027,Fish,2192,rail,9.75,-2,4,16,15.6,0,0,0.773,0.723,TRK009,R0014,,,,,,,5.53,0.841,0.84,0.53,394.91,3.0,1.615,low,clear,1.0,1
HS000028,Leafy Vegetables,402,road,8.64,2,8,17,16.7,0,1,0.102,0.904,TRK031,R0073,,,,,,,9.91,0.886,0.86,1.23,935.85,1.0,1.41,low,clear,0.0,0
HS000029,Pharmaceuticals,146,rail,7.26,2,8,5,25.1,0,0,0.235,0.744,TRK003,R0056,,,,,,,6.48,0.807,0.89,1.01,511.35,3.0,2.535,low,clear,1.0,0
HS000030,Fish,429,road,5.47,-2,4,6,29.3,1,1,0.622,0.819,TRK019,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,1.73,low,clear,1.0,1
HS000031,Tomato,463,road,5.1,8,13,23,20.0,1,0,0.874,0.882,TRK002,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.68,medium,clear,1.0,1
HS000032,Fish,668,rail,11.79,-2,4,11,23.6,1,1,0.811,0.897,TRK014,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,2.1550000000000002,medium,clear,1.0,1
HS000033,Spices,639,road,17.44,15,30,10,21.6,0,0,0.583,0.739,TRK011,R0060,,,,,,,11.76,0.862,0.89,1.22,1175.93,0.0,2.04,low,clear,1.0,1
HS000034,Frozen Food,305,local,11.59,-20,-15,20,18.8,0,0,0.444,0.94,TRK023,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,2.1,low,cloudy,1.0,0
HS000035,Dairy,114,local,23.66,2,8,22,35.2,0,1,0.032,0.742,TRK020,R0024,,,,,,,4.01,0.966,0.85,1.12,353.75,3.0,1.76,medium,cloudy,1.0,1
HS000036,Leafy Vegetables,472,rail,5.12,2,8,22,10.7,0,0,0.922,0.848,TRK010,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,2.22,low,clear,1.0,0
HS000037,Mango,120,road,17.89,8,12,8,22.8,0,0,0.744,0.926,TRK031,R0095,,,,,,,2.24,0.935,0.84,0.95,210.55,1.0,1.47,low,rain,1.0,1
HS000038,Tomato,771,rail,2.98,8,13,17,8.0,1,1,0.284,0.834,TRK018,R0003,,,,,,,10.53,0.929,0.77,0.77,511.96,3.0,2.085,medium,cloudy,1.0,1
HS000039,Mango,217,road,26.22,8,12,11,49.3,0,0,0.506,0.97,TRK020,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.49,low,clear,1.0,1
HS000040,Packaged Food,529,road,20.75,15,30,14,40.4,1,1,0.239,0.896,TRK015,R0021,,,,,,,5.88,0.912,0.81,1.22,456.85,2.0,2.13,low,clear,1.0,1
HS000041,Tomato,228,rail,17.67,8,13,10,28.7,1,0,0.916,0.805,TRK015,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,2.0949999999999998,medium,clear,1.0,1
HS000042,Rice,254,rail,4.06,15,30,6,23.5,1,1,0.448,0.739,TRK004,R0009,,,,,,,12.31,0.875,0.78,0.78,719.78,0.0,1.62,low,clear,1.0,1
HS000043,Banana,208,road,20.76,12,15,7,31.0,0,1,0.854,0.926,TRK005,R0035,,,,,,,4.64,0.898,0.79,0.64,290.01,0.0,1.96,medium,clear,1.0,1
HS000044,Tomato,557,rail,12.9,8,13,6,19.0,1,0,0.62,0.938,TRK006,R0008,,,,,,,12.15,0.81,0.87,1.26,1082.05,1.0,2.19,low,rain,1.0,1
HS000045,Leafy Vegetables,234,rail,8.2,2,8,10,31.8,0,0,0.525,0.878,TRK006,R0020,,,,,,,7.81,0.98,0.73,0.51,382.76,2.0,2.205,medium,cloudy,1.0,0
HS000046,Leafy Vegetables,577,road,5.47,2,8,6,15.4,0,1,0.907,0.803,TRK010,R0023,,,,,,,6.53,0.862,0.84,0.37,438.0,3.0,2.185,medium,clear,1.0,1
HS000047,Rice,238,road,10.8,15,30,22,30.9,0,1,0.138,0.861,TRK017,R0009,,,,,,,12.31,0.875,0.78,0.78,719.78,0.0,1.595,low,clear,1.0,0
HS000048,Packaged Food,301,rail,15.22,15,30,19,36.1,0,0,0.064,0.721,TRK003,R0014,,,,,,,5.53,0.841,0.84,0.53,394.91,3.0,1.48,medium,clear,1.0,1
HS000049,Spices,358,road,8.64,15,30,17,25.2,0,0,0.663,0.824,TRK007,R0022,,,,,,,6.88,0.821,0.94,1.29,773.92,3.0,2.58,low,clear,1.0,1
HS000050,Banana,387,road,21.08,12,15,7,30.2,0,1,0.915,0.967,TRK007,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,1.415,low,clear,0.0,1
HS000051,Rice,192,road,14.79,15,30,23,34.6,1,0,0.134,0.773,TRK003,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.91,low,clear,1.0,1
HS000052,Banana,553,rail,2.98,12,15,23,8.1,1,0,0.243,0.891,TRK016,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,1.8849999999999998,high,clear,1.0,0
HS000053,Spices,293,rail,4.06,15,30,18,10.9,0,0,0.4,0.746,TRK002,R0015,,,,,,,4.25,0.851,0.81,0.85,376.38,3.0,2.05,medium,clear,0.0,0
HS000054,Dairy,498,rail,1.99,2,8,0,14.8,1,0,0.932,0.902,TRK025,R0067,,,,,,,4.04,0.94,0.87,0.52,280.02,3.0,2.13,low,clear,1.0,1
HS000055,Leafy Vegetables,346,rail,10.45,2,8,2,23.3,0,0,0.853,0.83,TRK032,R0027,,,,,,,8.82,0.978,0.95,1.07,872.89,2.0,1.635,medium,rain,1.0,1
HS000056,Banana,512,rail,4.81,12,15,15,9.7,0,0,0.972,0.805,TRK004,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,1.6400000000000001,low,clear,1.0,0
HS000057,Mango,268,road,15.28,8,12,0,30.3,0,1,0.774,0.846,TRK001,R0034,,,,,,,5.24,0.807,0.82,0.86,523.99,3.0,2.68,low,clear,1.0,1
HS000058,Tomato,209,road,3.12,8,13,1,12.5,1,0,0.348,0.925,TRK018,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.87,high,clear,1.0,0
HS000059,Spices,462,road,8.67,15,30,11,25.6,0,0,0.053,0.93,TRK030,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,2.77,low,clear,1.0,1
HS000060,Rice,254,road,7.56,15,30,2,30.5,0,1,0.615,0.808,TRK029,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,2.535,low,clear,1.0,0
HS000061,Packaged Food,903,road,5.47,15,30,6,28.9,0,0,0.895,0.878,TRK029,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,2.315,high,rain,0.0,0
HS000062,Mango,366,road,8.68,8,12,17,20.5,0,0,0.447,0.801,TRK045,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,1.875,medium,clear,1.0,0
HS000063,Fish,143,road,5.69,-2,4,10,14.3,0,0,0.392,0.833,TRK003,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.875,low,clear,1.0,0
HS000064,Tomato,239,road,13.87,8,13,16,34.5,0,0,0.793,0.884,TRK011,R0048,,,,,,,5.52,0.961,0.93,0.88,516.07,0.0,1.97,low,rain,1.0,1
HS000065,Fish,183,road,14.79,-2,4,17,29.8,0,0,0.399,0.784,TRK013,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,2.33,low,cloudy,1.0,1
HS000066,Leafy Vegetables,703,road,20.76,2,8,23,40.7,1,0,0.734,0.801,TRK009,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,2.075,medium,cloudy,1.0,1
HS000067,Tomato,579,road,2.69,8,13,23,24.4,0,0,0.208,0.761,TRK035,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.56,low,clear,1.0,0
HS000068,Fish,336,rail,5.9,-2,4,0,14.4,0,0,0.633,0.87,TRK004,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.67,high,cloudy,1.0,0
HS000069,Banana,423,rail,2.98,12,15,20,14.7,0,0,0.57,0.931,TRK037,R0066,,,,,,,2.85,0.93,0.9,1.29,225.62,1.0,1.5,low,clear,1.0,0
HS000070,Dairy,331,rail,12.72,2,8,0,21.7,2,0,0.439,0.95,TRK004,R0051,,,,,,,3.13,0.876,0.94,1.03,268.58,3.0,1.9449999999999998,low,clear,1.0,1
HS000071,Frozen Food,612,road,17.59,-20,-15,1,32.9,0,1,0.329,0.956,TRK017,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,1.44,low,clear,0.0,1
HS000072,Banana,491,road,3.67,12,15,22,20.4,0,0,0.616,0.915,TRK049,R0025,,,,,,,4.21,0.781,0.8,0.42,200.9,1.0,1.13,low,clear,1.0,0
HS000073,Packaged Food,552,rail,22.88,15,30,15,41.8,1,0,0.948,0.838,TRK001,R0010,,,,,,,4.63,0.89,0.83,0.85,475.27,0.0,2.26,low,clear,1.0,1
HS000074,Dairy,309,road,17.59,2,8,8,33.7,2,0,0.307,0.923,TRK008,R0100,,,,,,,1.0,0.863,0.88,0.83,25.14,0.0,2.12,medium,cloudy,1.0,1
HS000075,Rice,232,road,10.46,15,30,22,27.5,1,0,0.056,0.784,TRK001,R0060,,,,,,,11.76,0.862,0.89,1.22,1175.93,0.0,1.38,medium,cloudy,1.0,0
HS000076,Frozen Food,539,road,20.95,-20,-15,9,26.8,0,0,0.878,0.848,TRK039,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,1.67,low,cloudy,1.0,1
HS000077,Pharmaceuticals,959,road,5.12,2,8,4,21.1,0,0,0.018,0.95,TRK018,R0022,,,,,,,6.88,0.821,0.94,1.29,773.92,3.0,1.89,medium,rain,1.0,0
HS000078,Pharmaceuticals,718,road,17.7,2,8,12,28.0,2,1,0.064,0.865,TRK028,R0038,,,,,,,7.23,0.823,0.94,0.49,457.68,2.0,2.45,low,clear,1.0,1
HS000079,Spices,978,road,14.57,15,30,4,23.3,0,0,0.143,0.873,TRK005,R0008,,,,,,,12.15,0.81,0.87,1.26,1082.05,1.0,2.26,medium,cloudy,1.0,1
HS000080,Fish,389,road,11.18,-2,4,7,24.6,0,0,0.747,0.875,TRK012,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,1.35,low,clear,1.0,1
HS000081,Tomato,186,road,8.31,8,13,12,30.1,0,0,0.069,0.921,TRK011,R0047,,,,,,,2.59,0.94,0.82,0.4,161.17,3.0,1.58,low,clear,1.0,0
HS000082,Mango,197,road,10.48,8,12,4,30.2,1,0,0.496,0.741,TRK042,R0010,,,,,,,4.63,0.89,0.83,0.85,475.27,0.0,1.84,low,rain,1.0,0
HS000083,Fish,858,local,9.39,-2,4,8,26.9,1,0,0.138,0.813,TRK001,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,2.28,high,rain,1.0,0
HS000084,Mango,104,road,21.08,8,12,13,42.9,0,0,0.556,0.954,TRK016,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.94,low,clear,1.0,1
HS000085,Tomato,931,rail,9.13,8,13,0,29.7,0,0,0.486,0.961,TRK031,R0090,,,,,,,2.98,0.885,0.93,1.3,218.26,0.0,1.83,high,clear,1.0,0
HS000086,Mango,210,road,9.35,8,12,20,27.2,0,0,0.311,0.86,TRK009,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,2.57,low,clear,1.0,1
HS000087,Fish,1222,rail,15.45,-2,4,6,35.9,2,1,0.572,0.795,TRK032,R0016,,,,,,,5.96,0.895,0.97,0.37,471.41,1.0,1.7,low,cloudy,1.0,1
HS000088,Banana,334,rail,11.79,12,15,4,26.1,0,0,0.306,0.933,TRK008,R0094,,,,,,,9.84,0.896,0.9,1.25,786.31,2.0,2.17,high,clear,1.0,1
HS000089,Fish,560,road,7.15,-2,4,13,18.2,1,0,0.84,0.943,TRK001,R0034,,,,,,,5.24,0.807,0.82,0.86,523.99,3.0,2.11,low,clear,1.0,0
HS000090,Rice,1649,road,9.5,15,30,6,25.9,1,0,0.927,0.794,TRK006,R0049,,,,,,,5.45,0.884,0.91,1.29,469.76,3.0,2.245,low,clear,1.0,1
HS000091,Rice,282,rail,7.58,15,30,6,26.1,0,0,0.519,0.904,TRK004,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,1.795,medium,clear,1.0,1
HS000092,Leafy Vegetables,279,rail,8.2,2,8,11,29.4,1,0,0.123,0.958,TRK004,R0073,,,,,,,9.91,0.886,0.86,1.23,935.85,1.0,1.775,low,cloudy,1.0,1
HS000093,Fish,223,road,3.5,-2,4,8,26.8,0,0,0.322,0.828,TRK021,R0062,,,,,,,9.64,0.886,0.95,0.81,800.05,0.0,2.37,medium,clear,1.0,0
HS000094,Fish,183,road,11.45,-2,4,2,24.8,0,0,0.821,0.74,TRK015,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,1.835,low,clear,1.0,1
HS000095,Dairy,282,rail,6.09,2,8,19,11.4,1,0,0.208,0.928,TRK002,R0040,,,,,,,6.32,0.972,0.95,1.03,531.41,2.0,2.79,low,clear,1.0,1
HS000096,Frozen Food,244,road,4.65,-20,-15,3,28.5,0,1,0.127,0.888,TRK016,R0037,,,,,,,9.05,0.945,0.93,0.99,728.5,1.0,1.945,low,clear,1.0,0
HS000097,Tomato,155,road,5.87,8,13,11,27.1,1,0,0.963,0.91,TRK047,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,2.48,medium,cloudy,1.0,0
HS000098,Packaged Food,305,local,17.13,15,30,1,34.0,0,0,0.551,0.885,TRK029,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.7,low,clear,1.0,1
HS000099,Mango,469,local,13.3,8,12,15,26.0,2,0,0.462,0.825,TRK023,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,1.98,low,cloudy,1.0,0
HS000100,Rice,196,road,26.03,15,30,19,46.1,1,1,0.923,0.961,TRK001,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,2.16,low,clear,1.0,1
HS000101,Fish,315,road,4.72,-2,4,15,19.8,0,0,0.536,0.876,TRK028,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,2.24,low,clear,1.0,0
HS000102,Tomato,873,road,21.08,8,13,9,29.0,0,0,0.495,0.851,TRK002,R0053,,,,,,,4.05,0.865,0.89,0.37,332.6,3.0,2.73,medium,cloudy,0.0,1
HS000103,Flowers,139,road,9.35,2,8,16,17.4,0,0,0.3,0.859,TRK001,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.45,low,clear,0.0,0
HS000104,Mango,1228,local,39.07,8,12,15,56.4,0,1,0.676,0.911,TRK036,R0060,,,,,,,11.76,0.862,0.89,1.22,1175.93,0.0,1.865,low,rain,1.0,1
HS000105,Rice,226,road,3.2,15,30,0,21.0,2,1,0.714,0.872,TRK004,R0031,,,,,,,5.96,0.968,0.97,1.2,633.79,3.0,2.3,low,clear,1.0,0
HS000106,Fish,399,road,8.41,-2,4,5,23.4,0,1,0.135,0.738,TRK013,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,1.31,low,cloudy,1.0,1
HS000107,Mango,804,rail,10.94,8,12,11,27.8,2,0,0.781,0.789,TRK005,R0011,,,,,,,4.94,0.973,0.9,0.77,276.21,2.0,1.71,medium,clear,0.0,1
HS000108,Mango,980,road,4.73,8,12,3,25.3,1,0,0.442,0.848,TRK019,R0003,,,,,,,10.53,0.929,0.77,0.77,511.96,3.0,1.96,low,clear,1.0,0
HS000109,Flowers,475,local,23.31,2,8,22,43.9,0,0,0.419,0.761,TRK043,R0009,,,,,,,12.31,0.875,0.78,0.78,719.78,0.0,2.09,low,clear,1.0,1
HS000110,Tomato,223,road,17.64,8,13,10,37.4,0,1,0.905,0.934,TRK012,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,2.06,low,clear,1.0,1
HS000111,Spices,210,road,2.28,15,30,15,19.5,1,0,0.156,0.914,TRK002,R0008,,,,,,,12.15,0.81,0.87,1.26,1082.05,1.0,1.6949999999999998,low,clear,1.0,0
HS000112,Flowers,241,local,12.16,2,8,0,19.2,1,0,0.49,0.909,TRK006,R0045,,,,,,,7.62,0.855,0.9,0.6,334.7,0.0,1.84,low,clear,1.0,1
HS000113,Pharmaceuticals,1195,road,13.51,2,8,2,18.5,0,0,0.451,0.837,TRK033,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,1.815,medium,clear,1.0,1
HS000114,Tomato,273,rail,7.2,8,13,13,22.7,0,0,0.602,0.792,TRK002,R0002,,,,,,,9.21,0.913,0.87,1.13,903.89,0.0,2.15,low,cloudy,0.0,0
HS000115,Pharmaceuticals,432,road,3.96,2,8,0,18.6,0,1,0.222,0.929,TRK045,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,2.46,low,clear,1.0,0
HS000116,Packaged Food,178,rail,1.99,15,30,3,22.7,0,0,0.247,0.808,TRK005,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.225,low,clear,1.0,0
HS000117,Mango,165,road,5.2,8,12,20,11.7,0,0,0.051,0.86,TRK001,R0022,,,,,,,6.88,0.821,0.94,1.29,773.92,3.0,0.88,medium,cloudy,1.0,0
HS000118,Leafy Vegetables,356,rail,6.6,2,8,17,14.3,2,0,0.81,0.793,TRK003,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,2.91,low,clear,1.0,0
HS000119,Tomato,283,local,5.7,8,13,23,12.7,3,0,0.095,0.966,TRK043,R0079,,,,,,,6.37,0.847,0.97,1.13,628.52,3.0,2.22,high,clear,1.0,0
HS000120,Leafy Vegetables,297,road,6.79,2,8,18,30.0,0,0,0.613,0.897,TRK013,R0089,,,,,,,6.81,0.924,0.98,1.2,571.64,1.0,1.685,low,clear,1.0,0
HS000121,Flowers,134,road,3.12,2,8,13,14.9,0,1,0.03,0.961,TRK025,R0059,,,,,,,8.05,0.91,0.97,1.24,750.3,2.0,1.63,low,clear,1.0,0
HS000122,Dairy,334,rail,0.35,2,8,10,11.4,0,0,0.591,0.96,TRK009,R0031,,,,,,,5.96,0.968,0.97,1.2,633.79,3.0,1.495,low,clear,1.0,0
HS000123,Fish,958,local,10.86,-2,4,20,19.1,0,0,0.229,0.772,TRK026,R0013,,,,,,,3.56,0.853,0.85,0.73,179.53,0.0,1.73,low,clear,1.0,0
HS000124,Leafy Vegetables,201,road,9.4,2,8,22,30.3,2,0,0.665,0.903,TRK003,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,1.33,medium,clear,1.0,0
HS000125,Banana,627,local,33.2,12,15,8,54.4,1,0,0.767,0.836,TRK028,R0005,,,,,,,12.43,0.83,0.89,1.29,1120.22,0.0,2.63,medium,cloudy,1.0,0
HS000126,Tomato,50,rail,7.26,8,13,22,14.8,1,0,0.979,0.878,TRK031,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,1.95,low,cloudy,1.0,0
HS000127,Spices,208,rail,7.34,15,30,23,18.9,0,0,0.745,0.836,TRK009,R0010,,,,,,,4.63,0.89,0.83,0.85,475.27,0.0,1.91,medium,rain,1.0,0
HS000128,Fish,101,road,11.45,-2,4,10,27.8,1,1,0.947,0.734,TRK003,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,1.495,medium,clear,1.0,1
HS000129,Leafy Vegetables,782,road,3.56,2,8,20,14.8,1,1,0.931,0.89,TRK006,R0010,,,,,,,4.63,0.89,0.83,0.85,475.27,0.0,2.2649999999999997,low,cloudy,1.0,0
HS000130,Rice,620,rail,18.29,15,30,15,30.1,0,0,0.281,0.842,TRK017,R0026,,,,,,,6.56,0.865,0.97,0.45,432.29,0.0,1.71,low,rain,1.0,0
HS000131,Mango,179,rail,13.89,8,12,2,33.3,0,0,0.4,0.753,TRK010,R0004,,,,,,,5.77,0.978,0.96,1.1,418.06,2.0,1.65,medium,clear,1.0,1
HS000132,Tomato,422,road,20.95,8,13,22,40.1,0,0,0.412,0.884,TRK036,R0001,,,,,,,10.46,0.842,0.96,1.17,1044.07,0.0,2.25,low,clear,0.0,1
HS000133,Tomato,764,road,20.76,8,13,2,43.1,0,1,0.346,0.76,TRK014,R0020,,,,,,,7.81,0.98,0.73,0.51,382.76,2.0,2.05,high,clear,1.0,1
HS000134,Packaged Food,846,rail,6.09,15,30,22,18.1,1,0,0.739,0.939,TRK002,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,1.9449999999999998,medium,rain,1.0,0
HS000135,Pharmaceuticals,269,road,15.28,2,8,0,38.9,0,0,0.383,0.725,TRK004,R0006,,,,,,,11.32,0.845,0.75,0.64,556.72,1.0,2.06,low,clear,1.0,1
HS000136,Fish,83,road,5.47,-2,4,8,15.2,0,0,0.921,0.825,TRK008,R0029,,,,,,,2.56,0.895,0.86,0.37,127.48,2.0,1.69,low,cloudy,1.0,0
HS000137,Mango,195,road,3.5,8,12,4,18.3,0,0,0.559,0.806,TRK017,R0012,,,,,,,3.5,0.873,0.94,1.21,264.71,2.0,2.295,medium,clear,1.0,0
HS000138,Banana,576,road,15.91,12,15,11,38.7,1,0,0.306,0.941,TRK031,R0017,,,,,,,10.3,0.883,0.8,0.86,772.87,1.0,1.8199999999999998,low,clear,1.0,1
HS000139,Frozen Food,1370,road,6.79,-20,-15,20,27.7,0,0,0.844,0.906,TRK006,R0007,,,,,,,9.92,0.862,0.94,0.9,935.67,0.0,1.35,low,rain,1.0,0
